titre;id;abstract_type;publication_status;is_paid;reference;page_count;url;affiliations;is_approved;approved_date;downloads;author_1_id;author_1_last_name;author_1_first_name;author_1_url;author_2_id;author_2_last_name;author_2_first_name;author_2_url;author_3_id;author_3_last_name;author_3_first_name;author_3_url;author_4_id;author_4_last_name;author_4_first_name;author_4_url;author_5_id;author_5_last_name;author_5_first_name;author_5_url;author_6_id;author_6_last_name;author_6_first_name;author_6_url;author_7_id;author_7_last_name;author_7_first_name;author_7_url;author_8_id;author_8_last_name;author_8_first_name;author_8_url;author_9_id;author_9_last_name;author_9_first_name;author_9_url;author_10_id;author_10_last_name;author_10_first_name;author_10_url;author_11_id;author_11_last_name;author_11_first_name;author_11_url;author_12_id;author_12_last_name;author_12_first_name;author_12_url;author_13_id;author_13_last_name;author_13_first_name;author_13_url;author_14_id;author_14_last_name;author_14_first_name;author_14_url;author_15_id;author_15_last_name;author_15_first_name;author_15_url;author_16_id;author_16_last_name;author_16_first_name;author_16_url;author_17_id;author_17_last_name;author_17_first_name;author_17_url;author_18_id;author_18_last_name;author_18_first_name;author_18_url;author_19_id;author_19_last_name;author_19_first_name;author_19_url;author_20_id;author_20_last_name;author_20_first_name;author_20_url;author_21_id;author_21_last_name;author_21_first_name;author_21_url;author_22_id;author_22_last_name;author_22_first_name;author_22_url;author_23_id;author_23_last_name;author_23_first_name;author_23_url;author_24_id;author_24_last_name;author_24_first_name;author_24_url;author_25_id;author_25_last_name;author_25_first_name;author_25_url;author_26_id;author_26_last_name;author_26_first_name;author_26_url;author_27_id;author_27_last_name;author_27_first_name;author_27_url;author_28_id;author_28_last_name;author_28_first_name;author_28_url;author_29_id;author_29_last_name;author_29_first_name;author_29_url;author_30_id;author_30_last_name;author_30_first_name;author_30_url;author_31_id;author_31_last_name;author_31_first_name;author_31_url;author_32_id;author_32_last_name;author_32_first_name;author_32_url;author_33_id;author_33_last_name;author_33_first_name;author_33_url;author_34_id;author_34_last_name;author_34_first_name;author_34_url;author_35_id;author_35_last_name;author_35_first_name;author_35_url;author_36_id;author_36_last_name;author_36_first_name;author_36_url;author_37_id;author_37_last_name;author_37_first_name;author_37_url;author_38_id;author_38_last_name;author_38_first_name;author_38_url;author_39_id;author_39_last_name;author_39_first_name;author_39_url;author_40_id;author_40_last_name;author_40_first_name;author_40_url;author_41_id;author_41_last_name;author_41_first_name;author_41_url;author_42_id;author_42_last_name;author_42_first_name;author_42_url;author_43_id;author_43_last_name;author_43_first_name;author_43_url;author_44_id;author_44_last_name;author_44_first_name;author_44_url;author_45_id;author_45_last_name;author_45_first_name;author_45_url;author_46_id;author_46_last_name;author_46_first_name;author_46_url;author_47_id;author_47_last_name;author_47_first_name;author_47_url;author_48_id;author_48_last_name;author_48_first_name;author_48_url;author_49_id;author_49_last_name;author_49_first_name;author_49_url;author_50_id;author_50_last_name;author_50_first_name;author_50_url;author_51_id;author_51_last_name;author_51_first_name;author_51_url;author_52_id;author_52_last_name;author_52_first_name;author_52_url;author_53_id;author_53_last_name;author_53_first_name;author_53_url;author_54_id;author_54_last_name;author_54_first_name;author_54_url;author_55_id;author_55_last_name;author_55_first_name;author_55_url;author_56_id;author_56_last_name;author_56_first_name;author_56_url;author_57_id;author_57_last_name;author_57_first_name;author_57_url;author_58_id;author_58_last_name;author_58_first_name;author_58_url;author_59_id;author_59_last_name;author_59_first_name;author_59_url;author_60_id;author_60_last_name;author_60_first_name;author_60_url;paperDate;abstract;lang;lang_prob;lang_abs;lang_prob_abs;lang_match;country
An Alternative Approach to New Public Management in the Administration of Justice;2959437;Working Paper Series;UNDER REVIEW;False;;20;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2959437;Queen's University;True;28 Apr 2017;121;2356212;Harrison;Thomas;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2356212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2008-01-30;This paper examines tensions in the administration of justice in Canada.  These tensions arise in part from what the author describes as a ‘tripartite’ responsibility for the courts system, split between two levels of government and the judicial and executive branches.  It also identifies increased tensions in recent years resulting from the introduction of ‘New Public Management’ approaches to public administration.  The author asserts that democratic principles like rule of law or access to justice may trump the imperatives of New Public Management in some circumstances.  As an example, the paper examines Canadian court decisions that have limited government's use of court fees as a revenue generating mechanism.  The author concludes by suggesting the application of an administrative law approach to determine “who’s in charge” in the justice system, to reduce tensions and resolve conflict, and as an alterative approach the New Public Management in the administration of justice.;en;0.8288960456848145;en;0.9380542635917664;True;United Kingdom
Tax Administration and Tax Systems;2958808;Working Paper Series;UNDER REVIEW;False;IEB Working Paper 2015/3;30;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2958808;University of Michigan, Stephen M. Ross School of Business;True;28 Apr 2017;230;30516;Slemrod;Joel B.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=30516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015-03-19;"This is a review of the so-called ""Optimal tax systems"" approach to the economic analysis of taxation. This approach acknowledges the bunch of instruments the public sector has to collect revenues, but also the multiple responses of taxpayers to them. In a way, this is a more realistic approach to taxation, and so should provide reliable guides to action.  MAIN RESULT: It stresses the importance of a Tax-systems approach in contrast with the tradition optimal taxation approach.This approach consists of three blocks: multiple sources of cost of taxation (compliance, administrative and deadweight loss), multiple responses to taxes (not only behavioral) and a bunch of instruments (not only statutory parameters).The future of this integrated approach to taxation will be very much influenced by the foreseen information revolution.";en;0.8988506197929382;en;0.9441481232643129;True;United States
Food Law at the Outset of the Trump Administration;2954112;Accepted Paper Series;UNDER REVIEW;False;UCLA Law Review Discourse (Forthcoming) Indiana University Robert H. McKinney School of Law Research Paper No. 2017-7;11;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2954112;Indiana University Robert H. McKinney School of Law;True;19 Apr 2017;79;1655660;Winters;Diana R. H.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1655660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-03-24;In these first few months of the Trump presidency food policy has not been a focus, though the administration’s deregulatory agenda is a priority. The Trump administration’s anti-regulatory stance, lack of attention to important food policy positions, and indifference to food policy in general is itself, of course, a policy choice. Under the Trump administration, subnational policy efforts and this diffuse movement will drive any progress in food policy going forward.Food law is important today for the same reasons that it was before November 8, 2016 — because of food’s effect on health, the environment, and the economy. Food policy remains one of the main levers by which we can work to address some of the most intractable problems of our time, including economic inequality and the effects of climate change. Moreover, a look at food law and policy is a window into potential effects of the new administration’s anti-regulatory stance and the way that state and local regulation will act to fill these gaps. In this essay I discuss what the field may face moving forward.;en;0.8551003336906433;en;0.9567587375640868;True;United States
The Federal Housing Administration and African-American Homeownership;2954157;Accepted Paper Series;UNDER REVIEW;False;ABA J. Afford. Hous. & Cmty. Dev. (Forthcoming) Brooklyn Law School, Legal Studies Paper No. 500;27;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2954157;Cornell University - Law School;True;18 Apr 2017;215;370392;Reiss;David J.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=370392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-04-17;The United States Federal Housing Administration (“FHA”) has been a versatile tool of government since it was created during the Great Depression. It achieved success with some of its goals and had a terrible record with others. Its impact on African-American households falls, in many ways, into the latter category. The FHA began redlining African-American communities at its very beginning. Its later days have been marred by high default and foreclosure rates in those same communities.At the same time, the FHA’s overall impact on the housing market has been immense. Over its lifetime, it has insured more than 40 million mortgages, helping to make home ownership available to a broad swath of American households. And indeed, the FHA mortgage was central to America’s transformation from a nation of renters to homeowners. The early FHA really created the modern American housing finance system, as well as the look and feel of postwar suburban communities.Recently, the FHA has come under attack for the poor execution of some of its policies to expand homeownership, particularly minority homeownership. Leading commentators have called for the federal government to stop employing the FHA to do anything other than provide liquidity to the low end of the mortgage market. These critics’ arguments rely on a couple of examples of programs that were clearly failures, but they fail to address the FHA’s long history of undertaking comparable initiatives. This Article takes the long view and demonstrates that the FHA has a history of successfully undertaking new homeownership programs. At the same time, the Article identifies flaws in the FHA model that should be addressed in order to prevent them from occurring if the FHA were to undertake similar initiatives to expand homeownership opportunities in the future, particularly for African-American households.;en;0.9276156425476074;en;0.9776039123535156;True;United States
Lesson Unlearned?: Regulatory Reform and Financial Stability in the Trump Administration;2952986;Accepted Paper Series;UNDER REVIEW;False;Columbia Law Review Online, Forthcoming UC Hastings Research Paper No. 242;17;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2952986;UC Law, San Francisco;True;17 Apr 2017;265;1885099;Crawford;John;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1885099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-04-14;A central lesson of the financial crisis of 2007–2008 was that firms behaving like banks should be regulated like banks. Nonbanks that perform the same economic function as banks — so-called “shadow banks” — create the same risks and demand the same regulatory response as depository institutions with bank charters. The principal legislative reform passed in the wake of the crisis, the Dodd-Frank Act, made several important, albeit incomplete, advances in applying elements of the banking regulatory regime to shadow banks. These achievements are now at risk, as President Trump has promised to “do a big number on Dodd-Frank.” While executive and agency action can roll back some of Dodd-Frank’s reforms, durable structural reversals will require legislation. The precise contours of such legislation are hard to predict, but most commentators believe the best starting point for considering what it might look like is the Financial CHOICE Act (“CHOICE Act”) sponsored by Representative Jeb Hensarling, chairman of the House Committee on Financial Services. This Piece argues that several key provisions from the CHOICE Act evince a fundamental conceptual mistake that threatens to undermine the financial stability of the United States. The mistake boils down to a failure to grasp the functional equivalence of banks and shadow banks. This leads to a failure to appreciate the negative externalities that shadow banks can create — externalities that are devastating when they materialize and are impervious to market solutions.;en;0.8243114352226257;en;0.9317232370376588;True;United States
La Administración Romana Ante La Gestión De Residuos Y Tutela Del Hábitat (Roman Administration for Waste Management and Habitat Protection);2921287;Accepted Paper Series;UNDER REVIEW;False;Revista Digital de Derecho Administrativo, No. 17, p. 69-87, 2017;19;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2921287;University of Las Palmas de Gran Canaria;True;23 Feb 2017;60;2654828;Zamora;Jose;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2654828;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-02-21;Spanish Abstract: Desde un punto de vista medioambiental, los problemas que normalmente se producen en las grandes ciudades están relacionados con los residuos, dada la concentración de viviendas y locales en un espacio reducido. Roma no supone una excepción, de ahí que haya existido una preocupación por la higiene y la gestión y evacuación de residuos urbanos, y que aún hoy en día siguen generando numerosos problemas. En el presente trabajo se hace una aproximación a algunas vicisitudes relacionadas con la gestión de residuos. English Abstract: From an environmental perspective, problems usually arising in large cities are often related to waste, due to a large group of residencies and business establishments in a small space. Rome is no exception  hence it has historically been concerned about hygiene and the management and disposal of urban waste, which continues to present day, generating numerous problems. This paper will address some of the vicissitudes related with waste management.;es;0.2940844893455505;es;0.6228215098381042;True;Spain
Derecho Criminal Romano. Aportes a Problemas Actuales En Relación Con Los 'Delitos Contra La Administración Pública' (Roman Criminal Law. Contributions to Current Problems in Connection with 'Crimes Against Public Administration');2898325;Accepted Paper Series;UNDER REVIEW;False;REVISTA DIGITAL DE DERECHO ADMINISTRATIVO, No. 16, Julio-Diciembre de 2016;52;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2898325;Universidad Externado de Colombia;True;14 Jan 2017;138;1751788;Espitia Garzon;Fabio;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1751788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-01-12;Spanish Abstract: El estudio secular y pormenorizado de las instituciones del derecho privado romano hizo olvidar por siglos el de las instituciones ligadas en Roma al derecho público, lo que se acentuó cuando, como consecuencia del triunfo de las ideas iluministas burguesas, se estructuraron una serie de principios (separación de poderes, principio de legalidad) considerados hasta tal punto verdades que hoy pueden parecer más bien mitos de la Ilustración. La situación, no obstante, cambió a partir de la segunda mitad del siglo xx, cuando la romanística comenzó a analizar más profundamente tanto las instituciones constitucionales como la represión criminal de los romanos. Este trabajo inicia con una reseña sobre algunas de las principales obras y artículos producidos desde los años 1950 hasta hoy, acerca de lo que con terminología actual se llamaría derecho penal “general”, “especial” y procedimiento, para luego centrarse en la utilidad práctica que esos estudios pueden tener a la hora de resolver problemáticas del hoy, tomando como ejemplo el tema de los delitos contra la administración pública, dada la necesidad actual de perseguir los bienes obtenidos como consecuencia de tales actividades, a pesar de la muerte del autor del hecho, esto es, de trascender el principio de personalidad de la pena. English Abstract: The secular and detailed study of Roman Private Law institutions has, for centuries, diverted the attention to institutions pertaining to the Public Law sphere. Such studies were a consequence of the triumph of bourgeois ideas from the Enlightenment, which were structured on a set of principles (separation of powers, the principle of legality) both considered absolute truths, even though today they seem more like myths. This understanding shifted during the second half of the twentieth century, when scholars of Roman Law began to more comprehensively analyze Rome’s constitutional institutions as well as its criminal repression. This paper begins with a review of some of the most important works and articles produced since the fifties until present day about the so called ‘general ’and ´special’ Criminal Law, and the Law of Criminal Procedure, it then focuses on how useful those texts are in order to solve actual problems, taking as an example the subject of crimes against public administration, given the actual need to pursue the assets obtained from such activities, despite the perpetrator’s death, which means going beyond the principle of the individual nature of penalties.;es;0.4684556424617767;es;0.6445608735084534;True;Colombia
Il Principio Del Merito Nel Diritto Delle Amministrazioni Romane. Riflessioni Storico-Comparatistiche Sulle Carriere Nei Pubblici Uffici (The Principle of Merit in the Law of Roman Administration. Historical-Comparative Reflections about Careers in Public Office);2898421;Accepted Paper Series;UNDER REVIEW;False;Revista Digital De Derecho Administrativo, No. 16, Julio-Diciembre De 2016;17;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2898421;Università di Bologna;True;14 Jan 2017;54;2641652;Trisciuoglio;Andrea;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2641652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-01-12;Italian Abstract: Il contributo mette a confronto il diritto delle amministrazioni romane, in particolare quello tardoimperiale basato sulle costituzioni degli imperatori, con il diritto costituzionale-amministrativo italiano (ivi incluse le più recenti novità normative) in tema di accesso e avanzamento nei pubblici uffici. Si osserva come nei due diritti considerati si delinea il principio meritocratico e si riflette, alla luce dell’esperienza romana, su come si possa giungere ad una sua concreta, condivisibile attuazione. English Abstract: The article makes a comparison between the laws of the Roman authorities, particularly those of the late empire based on the constitutions of the emperors, and constitutional and Italian administrative law (including the most recent legislation) on the issue of access and promotion in public administration. In the article it is observed how in both laws the principle of meritocracy emerges, and proposals are made, in the light of the Roman experience, on how such a principle, which we can all agree with, can be concretely implemented.;it;0.5078195333480835;it;0.5766682028770447;True;Italy
Entrepreneurial Administration;2893139;Working Paper Series;UNDER REVIEW;False;Silicon Flatirons Center, 2017 U of Colorado Law Legal Studies Research Paper No. 17-1;72;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2893139;University of Colorado Law School;True;05 Jan 2017;599;110103;Weiser;Phil;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=110103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-01-03;A core failing of today’s administrative state and modern administrative law scholarship is the lack of imagination as to how agencies should operate.  On the conventional telling, public agencies follow specific grants of regulatory authority, use the traditional tools of notice-and-comment rulemaking and adjudication, and are checked by judicial review.  In reality, however, effective administration depends on entrepreneurial leadership that spearheads policy experimentation and trial-and-error problem-solving, including the development of regulatory programs that use non-traditional tools. Entrepreneurial administration takes place both at public agencies and private entities, each of which can address regulatory challenges and earn regulatory authority as a result.  Consider, for example, that Energy Star, a successful program that has encouraged the manufacture and sale of energy efficient appliances, is developed and overseen by the Environmental Protection Agency (EPA).  After the EPA established the program, Congress later codified it and, eventually, other countries followed suit. By contrast, the successful and complementary program encouraging the construction of energy efficient buildings, the well-respected LEED standard, is developed and overseen by a private organization.  After it was developed, a number of governmental authorities endorsed it and have encouraged LEED-certified construction projects with both carrots and sticks.  Significantly, while neither the Energy Star nor the LEED program were originally anticipated by any regulatory statute, both have had a tremendous impact. The Energy Star and LEED case studies exemplify the sort of innovative regulatory strategies that are taking root in the modern administrative state.  Despite the importance of entrepreneurial administration in practice, scholars have failed to examine the role of entrepreneurial leadership in spurring policy innovation and earning regulatory authority for an agency (or private entity).  In short, administrative law needs a richer and more textured account of agency action, why entrepreneurial leadership matters in government, and how agencies should operate.This Article explains that the conventional view of agency behavior — either following the specific direction of Congress or the President to use notice-and-comment rulemaking or adjudication processes — does not adequately portray how public agencies and private entities develop innovative regulatory strategies and earn regulatory authority as a result.  In particular, this Article explains how governmental agencies like the EPA or private entities like the Green Building Council (which oversees the LEED standard) depend on entrepreneurial leadership to develop experimental regulatory strategies.  It also explains how, in the wake of such experiments, legislative bodies have the opportunity to evaluate regulatory innovations in practice before deciding whether to embrace, revise, reject, or merely tolerate them. This Article highlights the importance of entrepreneurial leadership in government, providing a number of examples of emerging regulatory experiments and suggesting how Congress should evaluate such experiments.  This discussion explains how entrepreneurial leadership and a culture of experimentation and trial-and-error learning is necessary to develop innovative strategies and overcome the pressure to manage the status quo.  In so doing, the Article underscores how policy entrepreneurship is integral to agency effectiveness, an important corrective to public choice theory, and a missing piece of modern administrative law scholarship.;en;0.6924524307250977;en;0.929182231426239;True;United States
Pharmaceutical Antitrust: What the Trump Administration Can Do;2880184;Accepted Paper Series;UNDER REVIEW;False;Concurrences: Competition Law Review 63 (No. 4, 2016);3;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2880184;Rutgers, The State University of New Jersey - Rutgers Law School;True;05 Dec 2016;393;327943;Carrier;Michael A.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=327943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-11-30;Drug prices are in the news. “Pharma Bro” Martin Shkreli increased the price of Daraprim, a treatment for fatal parasitic infections, by 5000%. Mylan found itself on the hot seat for raising the price of the anaphylaxis-treating EpiPen 15 times in 7 years, resulting in a 400% increase to more than $600. Politicians rail about the harms of high drug prices.What can the next Administration do? A lot. This article shows how — even without directly regulating price — it can use antitrust law to reduce prices by challenging an array of anticompetitive behavior. It can target settlements by which brand drug firms pay generics to delay entering the market. It can go after “product hopping,” by which a brand firm switches from one version of a drug to another to forestall generic competition. It can target distribution restrictions that brands have instituted to block generics. And it can challenge other conduct in the industry. In short, antitrust law has a vital role to play. Antitrust is about competition, which lowers prices and increases choice. Consumers in the pharmaceutical industry suffer harms as directly in this setting as anywhere. High drug prices have resulted in patients not being able to take vital medicines or splitting pills in half. To add insult to injury, this anticompetitive behavior typically is not justified based on innovation or patents. The agencies in the next Administration have important tasks ahead of them in targeting conduct in the pharmaceutical industry.;en;0.5557459592819214;en;0.9433221817016602;True;United States
