titre;id;abstract_type;publication_status;is_paid;reference;page_count;url;affiliations;is_approved;approved_date;downloads;author_1_id;author_1_last_name;author_1_first_name;author_1_url;author_2_id;author_2_last_name;author_2_first_name;author_2_url;author_3_id;author_3_last_name;author_3_first_name;author_3_url;author_4_id;author_4_last_name;author_4_first_name;author_4_url;author_5_id;author_5_last_name;author_5_first_name;author_5_url;author_6_id;author_6_last_name;author_6_first_name;author_6_url;author_7_id;author_7_last_name;author_7_first_name;author_7_url;author_8_id;author_8_last_name;author_8_first_name;author_8_url;author_9_id;author_9_last_name;author_9_first_name;author_9_url;author_10_id;author_10_last_name;author_10_first_name;author_10_url;author_11_id;author_11_last_name;author_11_first_name;author_11_url;author_12_id;author_12_last_name;author_12_first_name;author_12_url;author_13_id;author_13_last_name;author_13_first_name;author_13_url;author_14_id;author_14_last_name;author_14_first_name;author_14_url;author_15_id;author_15_last_name;author_15_first_name;author_15_url;author_16_id;author_16_last_name;author_16_first_name;author_16_url;author_17_id;author_17_last_name;author_17_first_name;author_17_url;author_18_id;author_18_last_name;author_18_first_name;author_18_url;author_19_id;author_19_last_name;author_19_first_name;author_19_url;author_20_id;author_20_last_name;author_20_first_name;author_20_url;author_21_id;author_21_last_name;author_21_first_name;author_21_url;author_22_id;author_22_last_name;author_22_first_name;author_22_url;author_23_id;author_23_last_name;author_23_first_name;author_23_url;author_24_id;author_24_last_name;author_24_first_name;author_24_url;author_25_id;author_25_last_name;author_25_first_name;author_25_url;author_26_id;author_26_last_name;author_26_first_name;author_26_url;author_27_id;author_27_last_name;author_27_first_name;author_27_url;author_28_id;author_28_last_name;author_28_first_name;author_28_url;author_29_id;author_29_last_name;author_29_first_name;author_29_url;author_30_id;author_30_last_name;author_30_first_name;author_30_url;author_31_id;author_31_last_name;author_31_first_name;author_31_url;author_32_id;author_32_last_name;author_32_first_name;author_32_url;author_33_id;author_33_last_name;author_33_first_name;author_33_url;author_34_id;author_34_last_name;author_34_first_name;author_34_url;author_35_id;author_35_last_name;author_35_first_name;author_35_url;author_36_id;author_36_last_name;author_36_first_name;author_36_url;author_37_id;author_37_last_name;author_37_first_name;author_37_url;author_38_id;author_38_last_name;author_38_first_name;author_38_url;author_39_id;author_39_last_name;author_39_first_name;author_39_url;author_40_id;author_40_last_name;author_40_first_name;author_40_url;author_41_id;author_41_last_name;author_41_first_name;author_41_url;author_42_id;author_42_last_name;author_42_first_name;author_42_url;author_43_id;author_43_last_name;author_43_first_name;author_43_url;author_44_id;author_44_last_name;author_44_first_name;author_44_url;author_45_id;author_45_last_name;author_45_first_name;author_45_url;author_46_id;author_46_last_name;author_46_first_name;author_46_url;author_47_id;author_47_last_name;author_47_first_name;author_47_url;author_48_id;author_48_last_name;author_48_first_name;author_48_url;author_49_id;author_49_last_name;author_49_first_name;author_49_url;author_50_id;author_50_last_name;author_50_first_name;author_50_url;author_51_id;author_51_last_name;author_51_first_name;author_51_url;author_52_id;author_52_last_name;author_52_first_name;author_52_url;author_53_id;author_53_last_name;author_53_first_name;author_53_url;author_54_id;author_54_last_name;author_54_first_name;author_54_url;author_55_id;author_55_last_name;author_55_first_name;author_55_url;author_56_id;author_56_last_name;author_56_first_name;author_56_url;author_57_id;author_57_last_name;author_57_first_name;author_57_url;author_58_id;author_58_last_name;author_58_first_name;author_58_url;author_59_id;author_59_last_name;author_59_first_name;author_59_url;author_60_id;author_60_last_name;author_60_first_name;author_60_url;paperDate;abstract;lang;lang_prob;lang_abs;lang_prob_abs;lang_match
Decentralizing Pork: Congressional Roll-Call Voting, Decentralized Administration, and Distributive Politics;2997735;Accepted Paper Series;UNDER REVIEW;False;Forthcoming, Legislative Studies Quarterly;38;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2997735;Pennsylvania State University and University of Southern California;True;06 Jul 2017;58;488124;Bertelli;Anthony M.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=488124;1869258.0;Clouser McCann;Pamela;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1869258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-07-05;Congress packages pork-barrel spending in complicated proposals that belie theories of distributive politics. We theorize that roll-call voting on such bills depends on grant programs’ administrative centralization, party ties with presidents or home-state governors, and differences in geographic representation between chambers. Analyzing votes between 1973-2010 using a within-legislator strategy reveals that House members are less likely to support decentralized spending when they are co-partisans with presidents, while senators support decentralization regardless of such party ties. When House members or senators share affiliation with only governors or with neither chief executive, the likelihood of support rises with decentralization.;en;0.7805776000022888;en;0.9347953200340271;True
Public Administration in the Agricultural Sector of Kazakhstan;2989524;Working Paper Series;UNDER REVIEW;False;;17;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2989524;Independent, Kazakhstan Institute for Strategic Studies, affiliation not provided to SSRN , NARXOZ and affiliation not provided to SSRN;True;21 Jun 2017;175;2731550;Taipov;Timur;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2731550;2731546.0;Khan;Yury;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2731546;2731629.0;Kurmanova;Gulnara;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2731629;2730535.0;Kantarbayeva;Shyryn;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2730535;2731630.0;Alpyssova;Venera;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2731630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-06-20;The authors analyzed international experience in providing financial aid to the agricultural sector of economy and evaluated its adaptation in Kazakhstan. The study highlighted practical introduction of direct and indirect support tools being most effectively used in the United States and in the European Union (EU). The authors explored state financial backing of the Kazakhstani agricultural producers upon generalization of positive international experience and outlined proposals on its unification within the framework of the Eurasian Economic Union.;en;0.8241610527038574;en;0.8800814151763916;True
Proposal to Single Application for Local Government's Administration and Financial Reporting in Indonesia;2989389;Working Paper Series;UNDER REVIEW;False;;14;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2989389;Sebelas Maret University - Badan Pengawasan Keuangan dan Pembangunan (BPKP), Sebelas Maret University - Badan Pengawasan Keuangan dan Pembangunan (BPKP), Sebelas Maret University - Badan Pengawasan Keuangan dan Pembangunan (BPKP), Sebelas Maret University - Badan Pengawasan Keuangan dan Pembangunan (BPKP) and Sebelas Maret University - Badan Pengawasan Keuangan dan Pembangunan (BPKP);True;21 Jun 2017;72;2730421;Darmawan;Faiz;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2730421;2730413.0;Lutfiana;Luluk;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2730413;2730423.0;Ramadhan;Gusti;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2730423;2730424.0;Saputra;Newin Ananta;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2730424;2730436.0;Wartika Hutasuhut;Shofiah;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2730436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-06-13;The level of Unqualified opinion on the local government is lower than central government. This proves that improvement is still needed in the process of administration, accountability and financial reporting by local governments. Local governments can adopt applications used by the central government such as SAIBA (Accounting System for Accrual Based Institutions) and SIMAK-BMN (Management Information System and Accounting for State Property), where there are 100 reporting entities with 28,927 accounting entities in it, and the realization of expenditure of up to 1,806.51 trillion rupiahs, or one like SIMDA developed by BPKP (Internal Auditor Board) that have proven reliable in presenting central government financial information. This paper discusses proposals for uniformity of applications in the administration, accountability and reporting of regional finances as already applied in the central government. The authors use the SWOT analysis to explain the advantages and disadvantages of using the same application for all local governments. The conclusion is that uniform application for administration, accountability and financial reporting to local government will improve the effectiveness, efficiency and quality of presentation in preparation of local government financial report.;en;0.8960385322570801;en;0.9351056218147278;True
Проблемы Стратегического Цикла в Системе Государственного Управления:  Оптимизация Механизмов Выработки и Реализации Решений (Problems of the Strategic Cycle in the System of Public Administration: Optimization of Mechanisms for the Development and Implementation of Decisions);2983107;Working Paper Series;UNDER REVIEW;False;;70;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2983107;Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Expert Analytical Center, Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Institute of Public Administration and Management and The Russian Presidential Academy (RANEPA) - School of Public Policy;True;11 Jun 2017;64;2722840;Ayvazyan;Z;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2722840;2331430.0;Bespalov;Sergei;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2331430;2721794.0;Maracha;Viacheslav;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2721794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-06-08;"Russian Abstract: Анализируются  внешние  вызовы,  внутренние  барьеры  и ключевые проблемы  развития  системы  стратегического  управления  в  Российской Федерации, особенности  практики  трансляции  стратегических  приоритетов  на  уровень поручений, типологическое  разнообразие  практик,  механизмов  и  документов  в  рамках стратегического  цикла.  Рассмотрена  модель  «стратегического  цикла»  в  системе государственного  управления,  сформулированы  предложения  по  совершенствованию «стратегического цикла» в целом и отдельных его элементов в системе государственного управления Российской Федерации. English Abstract: This paper carries out an analysis of external challenges, internal barriers and key problems of the development of the strategic management system in the Russian Federation, features of the practice of translating strategic priorities to the level of instructions, typological diversity of practices, mechanisms and documents within the framework of the strategic cycle. The model of the ""strategic cycle"" in the system of public administration is considered, proposals are formulated to improve the ""strategic cycle"" as a whole and its individual elements in the system of public administration of the Russian Federation.";ru;0.5985446572303772;ru;0.6911277770996094;True
The Future of the Administrative-Territorial Unit's Development: A Better Administration of the Public and Private Domain. A Legal Approach of Romanian Law;2970902;Working Paper Series;UNDER REVIEW;False;Internațional Multidisciplinary Scientific Conference on Social Sciences&Arts SGEM 2015, Conference Proceedings, Book 2, vol I, Section Law, pp.731-737;19;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2970902;Dimitrie Cantemir University of Tirgu-Mures;True;29 May 2017;49;1961670;Cătană;Emilia Lucia;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1961670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Although local public administration authorities have a territorial jurisdiction which is limited to the territorial administrative units in which they were elected and where they function, the difficult period transited by the state on the background of the existing international economic crisis, puts in real difficulty the smooth running of the local government. The created dysfunctions are more obvious because, although in the decentralization process, local public administration authorities are obliged to exercise their powers responsibly, respecting the quality standards in the provision of public services, they are actually put in the situation to identify their own solutions to local development. In the context where a real obstacle in the way of this goal is represented by insufficient financial resources from local budgets, needed to ensure their own contribution required by the funding authorities, this study will analyze the possible solutions conferred by the Romanian low to  local public administration authorities for the purpose of raising funds to the local budget with reference to the efficient management of the administrative-territorial unit through a better management of the public and private domain. In this respect, of reference is the possibility of management of the forest fund owned by the administrative-territorial units through private forest ranges, founded by them, respectively the lease or rental of pastures property of the administrative-territorial units by public action.;en;0.8358392119407654;en;0.9435262680053711;True
Hacia Una Administración Pública Sostenible: Novedades En La Legislación Europea De Contratación Pública (Towards a Sustainable Public Administration: Novelties in the EU Procurement Law);2962470;Accepted Paper Series;UNDER REVIEW;False;Actualidad Jurídica Ambiental, 64;40;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2962470;University of Castilla-La Mancha;True;28 May 2017;163;2565866;Miranzo Díaz;Javier;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2565866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Spanish Abstract: Es  innegable  el  peso  que  tienen  a  día  de  hoy  las  políticas  ambientales  en  el desarrollo legislativo, cultural y social de las diferentes naciones europeasque,a diferentes niveles y de manera transversal, afectan a todos los ámbitos de la vida  pública  y  privada.  Y,sin  embargo,  la  experiencia  pone  de  manifiesto como el número de entidades adjudicadoras que utilizan aspectos sociales para abastecerse  de  servicios, obras  y  suministroses  aún  considerablemente  bajo. La  nueva  legislación  europea  en  materia  de  contratación  pública  apuesta  de manera definitiva por una contratación ambientalmente sostenible que integre en  todas  las  fases del procedimiento de  manera  efectiva.  El presente artículo trata  de  analizar,  de  una  manera  crítica,  las  novedades  en  la  materia  y  las posibilidades  que  de  ellas  derivan,  así  como  las  posibles  carencias,  de  cara  a clarificar  el  escenario  al  que  se  enfrenta  la  contratación  pública  ambiental  en los próximos años. English Abstract: The importance that environmental policies have today in the world is currently out of doubt.  Its impact in the legislative, cultural and social development, at different levels and in a horizontal way is evident, and it affects every area of the public and private life of the countries. And yet, experience shows that the number of contracting authorities including environmental aspects when purchasing goods, works, and services, is still notably low.  The new European public procurement legislation makes is committed in promoting an environmental and sustainable public procurement in a comprehensive way, affecting every stage of the contract. In this article, we will try to analyse, in a critical way, the developments introduce by this new legislation in the field and the implementing possibilities resulting from them, along with its possible deficiencies, in order to clarify the existing scenario of environmental public procurement for the following years.;es;0.5877881646156311;es;0.45807284116744995;True
Dose-Dependent Effects of Oral Tyrosine Administration on Plasma Tyrosine Levels and Cognition in Aging;2970888;Working Paper Series;UNDER REVIEW;False;;33;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2970888;Wageningen University Human Nutrition, Radboud University, Faculty of Science, Mathematics and Computing Science, Donders Institute for Brain, Cognition and Behaviour, Radboud University Nijmegen - Radboud University Medical Center and Radboud University Nijmegen - Donders Institute for Brain, Cognition and Behaviour;True;21 May 2017;59;2703067;Rest, van de;Ondine van de Rest;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2703067;2683476.0;Bloemendaal;Mirjam;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2683476;2705708.0;de Heus;Rianne;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2705708;2705710.0;Aarts;Esther;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2705710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-05-19;The effects of tyrosine on plasma response and cognition in aging are unknown. We assessed the dose-dependent response to tyrosine administration in older adults in both plasma tyrosine concentrations and working memory performance. In this double blind randomized cross-over trial 17 older adults (aged 60-75 years) received a single administration of 100, 150 or 200 mg/kg body weight of tyrosine. For comparison, 17 young adults (aged 18-35 years) received a dose of 150 mg/kg body weight of tyrosine. Tyrosine plasma concentrations were determined before and 90, 120, 150, 180, 210 and 240 minutes after tyrosine intake. Working memory was assessed using the N-back task at 90 minutes after tyrosine administration. Older adults showed a dose-dependent increase in plasma tyrosine concentrations (p<.001), and the plasma response was higher than for young adults with the same dose (p<.001). Load-dependent working memory performance decreased with higher doses of tyrosine (p=.048), especially in older adults with greater dose-dependent plasma tyrosine responses (p=.035). Our results show an age-related increase in plasma tyrosine response, which was associated with a dose-dependent decline in cognitive functioning in older adults.;en;0.6922321915626526;en;0.9168063998222351;True
Tax Administration Reforms in the Caribbean: Challenges, Achievements, and Next Steps;2967441;Working Paper Series;UNDER REVIEW;False;IMF Working Paper No. 17/88;47;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2967441;International Monetary Fund (IMF);True;12 May 2017;136;2701063;Schlotterbeck;Stephane;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2701063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Over the past decade, governments in the Caribbean region have introduced the value-added tax (VAT) to modernize their tax system, rapidly mobilize revenue and reduce budget deficits. This paper analyzes VAT performance in the region and concludes that while it has boosted revenues, the VAT has not reached its potential. Intended as a broad-based tax with limited exemptions, a single rate and zero-rating confined to exports, the VAT's design often lacks these characteristics. The paper also finds that although tax administration reforms can boost revenues, countries have just started to address organizational inefficiencies, data integrity issues, and operational ineffectiveness. These reforms need to intensify in order to have a more significant impact on compliance and revenue.;en;0.8704267144203186;en;0.9619745016098022;True
Blueprint 2020: A Vision for Canada's Federal Public Service that Destroys Public Administration;2966916;Working Paper Series;UNDER REVIEW;False;Humanistic Management Association, Research Paper Series No. 17-28;20;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2966916;Walden University;True;12 May 2017;88;2557639;Covell;Caroline;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2557639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2017-05-11;Blueprint 2020, known also as Destination 2020, coined by the former Privy Council Wayne Wouter, was introduced with a big celebration. Public servants across the federal and provincial levels were excited and elevated as they participated in the exercise. It was introduced as a proposed way to remedy the chronic dysfunctionality condition of the government today. The exercise was so focused on the individuality and practical ideas that many became lost in this exercise.  In a nutshell, Blueprint 2020 is about the destruction of the Canadian public service. No one sees its destructive impact because of its grand introduction and its practicality that suits the desires of young public servants who seem to have been bred to think in a short-term paradigm. This paper discusses the theoretical meaning of public administration, its meaningful application in the field of practicality, the impact of the Blueprint 2020, and a propose method to strengthen public administration, and the roles of scholars or what scholars can do to remedy the dysfunctionality of the public administration system of management and administration. Towne in his “Economic Engineers” stated that when there is a dysfunctionality in the organization, never ask a business, an administrative clerk, or a social worker to fix it, but ask a person who is specially trained in the field. Public administration is an academic field, a field of science, and a field of managerial and professional application. It requires the scholars to play a significant role in the leadership and management of the public service.;en;0.8429156541824341;en;0.9749386310577393;True
The State in Public Administration;2945104;Working Paper Series;UNDER REVIEW;False;;10;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2945104;Independent;True;04 May 2017;1474;2666161;Hammer;Michael;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2666161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2011-01-24;What is “the state,” and what is its relevance, if any, to public administration?  The concept of the state goes back for centuries but has become an increasingly more widely discussed topic within the last 30 years.  This review of five important works on the subject will present the major definitions, highlight the points of debate among scholars, and argue that there are at least four ways in which the concept of “the state” can advance the field of public administration;en;0.8722447752952576;en;0.9718881249427795;True
