titre;id;abstract_type;publication_status;is_paid;reference;page_count;url;affiliations;is_approved;approved_date;downloads;author_1_id;author_1_last_name;author_1_first_name;author_1_url;author_2_id;author_2_last_name;author_2_first_name;author_2_url;author_3_id;author_3_last_name;author_3_first_name;author_3_url;author_4_id;author_4_last_name;author_4_first_name;author_4_url;paperDate;abstract;lang;lang_prob;lang_abs;lang_prob_abs;lang_match;author_1_institution;author_1_ror_url;author_1_country;ror_status;author_1_ror_id
The Future of the Administrative-Territorial Unit's Development: A Better Administration of the Public and Private Domain. A Legal Approach of Romanian Law;2970902;Working Paper Series;UNDER REVIEW;False;Internațional Multidisciplinary Scientific Conference on Social Sciences&Arts SGEM 2015, Conference Proceedings, Book 2, vol I, Section Law, pp.731-737;19;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2970902;Dimitrie Cantemir University of Tirgu-Mures;True;29 May 2017;49;1961670;Cătană;Emilia Lucia;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1961670;;;;;;;;;;;;;;Although local public administration authorities have a territorial jurisdiction which is limited to the territorial administrative units in which they were elected and where they function, the difficult period transited by the state on the background of the existing international economic crisis, puts in real difficulty the smooth running of the local government. The created dysfunctions are more obvious because, although in the decentralization process, local public administration authorities are obliged to exercise their powers responsibly, respecting the quality standards in the provision of public services, they are actually put in the situation to identify their own solutions to local development. In the context where a real obstacle in the way of this goal is represented by insufficient financial resources from local budgets, needed to ensure their own contribution required by the funding authorities, this study will analyze the possible solutions conferred by the Romanian low to  local public administration authorities for the purpose of raising funds to the local budget with reference to the efficient management of the administrative-territorial unit through a better management of the public and private domain. In this respect, of reference is the possibility of management of the forest fund owned by the administrative-territorial units through private forest ranges, founded by them, respectively the lease or rental of pastures property of the administrative-territorial units by public action.;en;0.8358392119407654;en;0.9435262680053712;True;Dimitrie Cantemir University;https://ror.org/05ykvq143;Romania;matched;05ykvq143
Hacia Una Administración Pública Sostenible: Novedades En La Legislación Europea De Contratación Pública (Towards a Sustainable Public Administration: Novelties in the EU Procurement Law);2962470;Accepted Paper Series;UNDER REVIEW;False;Actualidad Jurídica Ambiental, 64;40;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2962470;University of Castilla-La Mancha;True;28 May 2017;163;2565866;Miranzo Díaz;Javier;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2565866;;;;;;;;;;;;;;Spanish Abstract: Es  innegable  el  peso  que  tienen  a  día  de  hoy  las  políticas  ambientales  en  el desarrollo legislativo, cultural y social de las diferentes naciones europeasque,a diferentes niveles y de manera transversal, afectan a todos los ámbitos de la vida  pública  y  privada.  Y,sin  embargo,  la  experiencia  pone  de  manifiesto como el número de entidades adjudicadoras que utilizan aspectos sociales para abastecerse  de  servicios, obras  y  suministroses  aún  considerablemente  bajo. La  nueva  legislación  europea  en  materia  de  contratación  pública  apuesta  de manera definitiva por una contratación ambientalmente sostenible que integre en  todas  las  fases del procedimiento de  manera  efectiva.  El presente artículo trata  de  analizar,  de  una  manera  crítica,  las  novedades  en  la  materia  y  las posibilidades  que  de  ellas  derivan,  así  como  las  posibles  carencias,  de  cara  a clarificar  el  escenario  al  que  se  enfrenta  la  contratación  pública  ambiental  en los próximos años. English Abstract: The importance that environmental policies have today in the world is currently out of doubt.  Its impact in the legislative, cultural and social development, at different levels and in a horizontal way is evident, and it affects every area of the public and private life of the countries. And yet, experience shows that the number of contracting authorities including environmental aspects when purchasing goods, works, and services, is still notably low.  The new European public procurement legislation makes is committed in promoting an environmental and sustainable public procurement in a comprehensive way, affecting every stage of the contract. In this article, we will try to analyse, in a critical way, the developments introduce by this new legislation in the field and the implementing possibilities resulting from them, along with its possible deficiencies, in order to clarify the existing scenario of environmental public procurement for the following years.;es;0.5877881646156311;es;0.4580728411674499;True;University of Castilla-La Mancha;https://ror.org/05r78ng12;Spain;matched;05r78ng12
Tax Administration Reforms in the Caribbean: Challenges, Achievements, and Next Steps;2967441;Working Paper Series;UNDER REVIEW;False;IMF Working Paper No. 17/88;47;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2967441;International Monetary Fund (IMF);True;12 May 2017;136;2701063;Schlotterbeck;Stephane;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2701063;;;;;;;;;;;;;;Over the past decade, governments in the Caribbean region have introduced the value-added tax (VAT) to modernize their tax system, rapidly mobilize revenue and reduce budget deficits. This paper analyzes VAT performance in the region and concludes that while it has boosted revenues, the VAT has not reached its potential. Intended as a broad-based tax with limited exemptions, a single rate and zero-rating confined to exports, the VAT's design often lacks these characteristics. The paper also finds that although tax administration reforms can boost revenues, countries have just started to address organizational inefficiencies, data integrity issues, and operational ineffectiveness. These reforms need to intensify in order to have a more significant impact on compliance and revenue.;en;0.8704267144203186;en;0.9619745016098022;True;International Monetary Fund;https://ror.org/05m4rmw09;United States;matched;05m4rmw09
Blueprint 2020: A Vision for Canada's Federal Public Service that Destroys Public Administration;2966916;Working Paper Series;UNDER REVIEW;False;Humanistic Management Association, Research Paper Series No. 17-28;20;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2966916;Walden University;True;12 May 2017;88;2557639;Covell;Caroline;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2557639;;;;;;;;;;;;;2017-05-11;Blueprint 2020, known also as Destination 2020, coined by the former Privy Council Wayne Wouter, was introduced with a big celebration. Public servants across the federal and provincial levels were excited and elevated as they participated in the exercise. It was introduced as a proposed way to remedy the chronic dysfunctionality condition of the government today. The exercise was so focused on the individuality and practical ideas that many became lost in this exercise.  In a nutshell, Blueprint 2020 is about the destruction of the Canadian public service. No one sees its destructive impact because of its grand introduction and its practicality that suits the desires of young public servants who seem to have been bred to think in a short-term paradigm. This paper discusses the theoretical meaning of public administration, its meaningful application in the field of practicality, the impact of the Blueprint 2020, and a propose method to strengthen public administration, and the roles of scholars or what scholars can do to remedy the dysfunctionality of the public administration system of management and administration. Towne in his “Economic Engineers” stated that when there is a dysfunctionality in the organization, never ask a business, an administrative clerk, or a social worker to fix it, but ask a person who is specially trained in the field. Public administration is an academic field, a field of science, and a field of managerial and professional application. It requires the scholars to play a significant role in the leadership and management of the public service.;en;0.8429156541824341;en;0.9749386310577391;True;Walden University;https://ror.org/02qp2hh41;United States;matched;02qp2hh41
The State in Public Administration;2945104;Working Paper Series;UNDER REVIEW;False;;10;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2945104;;True;04 May 2017;1474;2666161;Hammer;Michael;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2666161;;;;;;;;;;;;;2011-01-24;What is “the state,” and what is its relevance, if any, to public administration?  The concept of the state goes back for centuries but has become an increasingly more widely discussed topic within the last 30 years.  This review of five important works on the subject will present the major definitions, highlight the points of debate among scholars, and argue that there are at least four ways in which the concept of “the state” can advance the field of public administration;en;0.8722447752952576;en;0.9718881249427797;True;;;;empty_affiliation;
An Alternative Approach to New Public Management in the Administration of Justice;2959437;Working Paper Series;UNDER REVIEW;False;;20;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2959437;Queen's University;True;28 Apr 2017;121;2356212;Harrison;Thomas;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2356212;;;;;;;;;;;;;2008-01-30;This paper examines tensions in the administration of justice in Canada.  These tensions arise in part from what the author describes as a ‘tripartite’ responsibility for the courts system, split between two levels of government and the judicial and executive branches.  It also identifies increased tensions in recent years resulting from the introduction of ‘New Public Management’ approaches to public administration.  The author asserts that democratic principles like rule of law or access to justice may trump the imperatives of New Public Management in some circumstances.  As an example, the paper examines Canadian court decisions that have limited government's use of court fees as a revenue generating mechanism.  The author concludes by suggesting the application of an administrative law approach to determine “who’s in charge” in the justice system, to reduce tensions and resolve conflict, and as an alterative approach the New Public Management in the administration of justice.;en;0.8288960456848145;en;0.9380542635917664;True;Queen's University;https://ror.org/02y72wh86;Canada;matched;02y72wh86
Tax Administration and Tax Systems;2958808;Working Paper Series;UNDER REVIEW;False;IEB Working Paper 2015/3;30;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2958808;University of Michigan, Stephen M. Ross School of Business;True;28 Apr 2017;230;30516;Slemrod;Joel B.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=30516;;;;;;;;;;;;;2015-03-19;"This is a review of the so-called ""Optimal tax systems"" approach to the economic analysis of taxation. This approach acknowledges the bunch of instruments the public sector has to collect revenues, but also the multiple responses of taxpayers to them. In a way, this is a more realistic approach to taxation, and so should provide reliable guides to action.  MAIN RESULT: It stresses the importance of a Tax-systems approach in contrast with the tradition optimal taxation approach.This approach consists of three blocks: multiple sources of cost of taxation (compliance, administrative and deadweight loss), multiple responses to taxes (not only behavioral) and a bunch of instruments (not only statutory parameters).The future of this integrated approach to taxation will be very much influenced by the foreseen information revolution.";en;0.8988506197929382;en;0.9441481232643129;True;University of Michigan;https://ror.org/00jmfr291;United States;matched;00jmfr291
Food Law at the Outset of the Trump Administration;2954112;Accepted Paper Series;UNDER REVIEW;False;UCLA Law Review Discourse (Forthcoming) Indiana University Robert H. McKinney School of Law Research Paper No. 2017-7;11;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2954112;Indiana University Robert H. McKinney School of Law;True;19 Apr 2017;79;1655660;Winters;Diana R. H.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1655660;;;;;;;;;;;;;2017-03-24;In these first few months of the Trump presidency food policy has not been a focus, though the administration’s deregulatory agenda is a priority. The Trump administration’s anti-regulatory stance, lack of attention to important food policy positions, and indifference to food policy in general is itself, of course, a policy choice. Under the Trump administration, subnational policy efforts and this diffuse movement will drive any progress in food policy going forward.Food law is important today for the same reasons that it was before November 8, 2016 — because of food’s effect on health, the environment, and the economy. Food policy remains one of the main levers by which we can work to address some of the most intractable problems of our time, including economic inequality and the effects of climate change. Moreover, a look at food law and policy is a window into potential effects of the new administration’s anti-regulatory stance and the way that state and local regulation will act to fill these gaps. In this essay I discuss what the field may face moving forward.;en;0.8551003336906433;en;0.9567587375640868;True;Indiana University;https://ror.org/01kg8sb98;United States;matched;01kg8sb98
The Federal Housing Administration and African-American Homeownership;2954157;Accepted Paper Series;UNDER REVIEW;False;ABA J. Afford. Hous. & Cmty. Dev. (Forthcoming) Brooklyn Law School, Legal Studies Paper No. 500;27;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2954157;Cornell University - Law School;True;18 Apr 2017;215;370392;Reiss;David J.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=370392;;;;;;;;;;;;;2017-04-17;The United States Federal Housing Administration (“FHA”) has been a versatile tool of government since it was created during the Great Depression. It achieved success with some of its goals and had a terrible record with others. Its impact on African-American households falls, in many ways, into the latter category. The FHA began redlining African-American communities at its very beginning. Its later days have been marred by high default and foreclosure rates in those same communities.At the same time, the FHA’s overall impact on the housing market has been immense. Over its lifetime, it has insured more than 40 million mortgages, helping to make home ownership available to a broad swath of American households. And indeed, the FHA mortgage was central to America’s transformation from a nation of renters to homeowners. The early FHA really created the modern American housing finance system, as well as the look and feel of postwar suburban communities.Recently, the FHA has come under attack for the poor execution of some of its policies to expand homeownership, particularly minority homeownership. Leading commentators have called for the federal government to stop employing the FHA to do anything other than provide liquidity to the low end of the mortgage market. These critics’ arguments rely on a couple of examples of programs that were clearly failures, but they fail to address the FHA’s long history of undertaking comparable initiatives. This Article takes the long view and demonstrates that the FHA has a history of successfully undertaking new homeownership programs. At the same time, the Article identifies flaws in the FHA model that should be addressed in order to prevent them from occurring if the FHA were to undertake similar initiatives to expand homeownership opportunities in the future, particularly for African-American households.;en;0.9276156425476074;en;0.9776039123535156;True;Cornell University;https://ror.org/05bnh6r87;United States;matched;05bnh6r87
Lesson Unlearned?: Regulatory Reform and Financial Stability in the Trump Administration;2952986;Accepted Paper Series;UNDER REVIEW;False;Columbia Law Review Online, Forthcoming UC Hastings Research Paper No. 242;17;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2952986;UC Law, San Francisco;True;17 Apr 2017;265;1885099;Crawford;John;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1885099;;;;;;;;;;;;;2017-04-14;A central lesson of the financial crisis of 2007–2008 was that firms behaving like banks should be regulated like banks. Nonbanks that perform the same economic function as banks — so-called “shadow banks” — create the same risks and demand the same regulatory response as depository institutions with bank charters. The principal legislative reform passed in the wake of the crisis, the Dodd-Frank Act, made several important, albeit incomplete, advances in applying elements of the banking regulatory regime to shadow banks. These achievements are now at risk, as President Trump has promised to “do a big number on Dodd-Frank.” While executive and agency action can roll back some of Dodd-Frank’s reforms, durable structural reversals will require legislation. The precise contours of such legislation are hard to predict, but most commentators believe the best starting point for considering what it might look like is the Financial CHOICE Act (“CHOICE Act”) sponsored by Representative Jeb Hensarling, chairman of the House Committee on Financial Services. This Piece argues that several key provisions from the CHOICE Act evince a fundamental conceptual mistake that threatens to undermine the financial stability of the United States. The mistake boils down to a failure to grasp the functional equivalence of banks and shadow banks. This leads to a failure to appreciate the negative externalities that shadow banks can create — externalities that are devastating when they materialize and are impervious to market solutions.;en;0.8243114352226257;en;0.9317232370376588;True;University of California, San Francisco;https://ror.org/043mz5j54;United States;matched;043mz5j54
