titre;id;abstract_type;publication_status;is_paid;reference;page_count;url;affiliations;is_approved;approved_date;downloads;author_1_id;author_1_last_name;author_1_first_name;author_1_url;author_2_id;author_2_last_name;author_2_first_name;author_2_url;author_3_id;author_3_last_name;author_3_first_name;author_3_url;author_4_id;author_4_last_name;author_4_first_name;author_4_url;paperDate;abstract;lang;lang_prob;lang_abs;lang_prob_abs;lang_match;and_count;author1_affi_raw;author2_affi_raw;author_1_institution;author_1_ror_url;author_1_country;author_1_ror_status;author_1_ror_id;author_2_institution;author_2_ror_url;author_2_country;author_2_ror_status;author_2_ror_id
Decentralizing Pork: Congressional Roll-Call Voting, Decentralized Administration, and Distributive Politics;2997735;Accepted Paper Series;UNDER REVIEW;False;Forthcoming, Legislative Studies Quarterly;38;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2997735;Pennsylvania State University and University of Southern California;True;06 Jul 2017;58;488124;Bertelli;Anthony M.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=488124;1869258.0;Clouser McCann;Pamela;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1869258;;;;;;;;;2017-07-05;Congress packages pork-barrel spending in complicated proposals that belie theories of distributive politics. We theorize that roll-call voting on such bills depends on grant programs’ administrative centralization, party ties with presidents or home-state governors, and differences in geographic representation between chambers. Analyzing votes between 1973-2010 using a within-legislator strategy reveals that House members are less likely to support decentralized spending when they are co-partisans with presidents, while senators support decentralization regardless of such party ties. When House members or senators share affiliation with only governors or with neither chief executive, the likelihood of support rises with decentralization.;en;0.7805776000022888;en;0.9347953200340272;True;1;Pennsylvania State University;University of Southern California;Pennsylvania State University;https://ror.org/04p491231;United States;matched;04p491231;University of Southern California;https://ror.org/03taz7m60;United States;matched;03taz7m60
Assessing the Effects of 'Stand-Alone' Structuration of Land Administration System on Urban Land Delivery and Accessibility in Nigeria;2949356;Accepted Paper Series;UNDER REVIEW;False;Traektoriâ Nauki, Vol. 2, No. 12, pp. 10.1-10.10, 2016 DOI: 10.22178/pos.17-17;10;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2949356;Universiti Tun Hussein Onn Malaysia (UTHM) and Universiti Tun Hussein Onn Malaysia (UTHM);True;11 Apr 2017;38;2651721;Akinbola;Kazeem;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2651721;2655083.0;Md Yassin;A.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2655083;;;;;;;;;2016-12-28;The efficiency and effectiveness of land administration system had been acknowledged to be premised on so many factors, arguably the chief of which, is the degree of mutuality, frictionlessness and bi-directionality in the interrelationship that exist amongst the various factors that are discharging arrays of tasks that these formal lands regulo-administrative machineries are saddled with. Undoubtedly, this simple conduct of affairs resultantly drives the formal lands delivery, hence it increases accessibility to urban lands by several categories of users in Nigeria, as thus the case globally. However, these interrelationships are absent among land administration and regulation systems in Nigeria. Hence, this study intends to assess the direct and possible indirect impacts that these interrelationships fallouts have on the formal delivery and accessibility of urban lands in Nigeria, Firstly, this was done by articulating the issues involved and calibrating them into constructs, then measuring them via the following score-cards, thus: myopism, non-ingenuity, disservice, ecofinancial loss, distrust, trauma, anti-growth, death, market distortion and thriving informalisation focussing on the South Western Nigeria. Out of the total 586 individuals considered as the total population for the sample space, 120 individual qualified for the sample frame, upon which the structured questionnaires were distributed among land regulators, land administrators, independent land consultants and ultimate land users, essentially to have a fair and broad view of the issues inherent in this lands accessibility dilemma. 93 questionnaires were retrieved, out of which 87 questionnaires were valid, thus formed the basis upon which analyses were done, with emphasis on the 5 point Likert scale measurement usage, via both inferential and descriptive statistical tools. The results showed amongst other things, that unbridled relationship frictions had led to unwarranted role jettisoning and this impacts adversely on the delivery pace which concomitantly warps formal pathway to accessing urban lands by various categories of land users. Among the recommendations are that government formal land agencies should be re-configured to build synergy that engenders positive interrelationship and role synchronisation towards improved formal land delivery and accessibility in Nigeria.;en;0.7138480544090271;en;0.9478474855422974;True;1;Universiti Tun Hussein Onn Malaysia (UTHM);Universiti Tun Hussein Onn Malaysia (UTHM);Tun Hussein Onn University of Malaysia;https://ror.org/01c5wha71;Malaysia;matched;01c5wha71;Tun Hussein Onn University of Malaysia;https://ror.org/01c5wha71;Malaysia;matched;01c5wha71
Shale Law in the Spotlight: Use of the Congressional Review Act to Alter Energy and Environmental Policy in the Early Days of the Trump Administration;2943728;Working Paper Series;UNDER REVIEW;False;Penn State Law Research Paper No. 9-2017;2;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2943728;Pennsylvania State University - Penn State Dickinson Law and Pennsylvania State University - Penn State Dickinson Law;True;03 Apr 2017;135;2673431;Marie;Chloe;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2673431;1845385.0;Pifer;Ross;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1845385;;;;;;;;;2017-02-23;During his presidential campaign and since taking office, President Donald Trump has repeatedly expressed concern about the “burdensome regulations on [the U.S.] energy industry.” He has vowed to “eliminat[e] harmful and unnecessary policies,” which are inconsistent with his energy agenda. Working with Congress, President Trump already has used the Congressional Review Act as a method to alter existing energy and environmental policies since he assumed office.Congress has within its general powers the ability to overturn federal agency rules in conformity with the 1996 Congressional Review Act (CRA). Under the CRA, Members of Congress have sixty “days of continuous session” to introduce a joint resolution of disapproval from the date the rule is received by Congress and published in the Federal Register. If both the House of Representatives and the Senate pass the joint resolution, the President may sign or veto the disapproval joint resolution. Prior to the recent change in Presidential administrations, only one regulation ever had been struck down using the CRA. In March of 2001, President George W. Bush signed into law the repeal of workplace ergonomic rules promulgated by the Clinton Administration’s Occupational Safety and Health Administration in the Department of Labor.;en;0.8678470253944397;en;0.9676417708396912;True;1;Pennsylvania State University - Penn State Dickinson Law;Pennsylvania State University - Penn State Dickinson Law;Pennsylvania State University;https://ror.org/04p491231;United States;matched;04p491231;Pennsylvania State University;https://ror.org/04p491231;United States;matched;04p491231
Occupational Intention of Public Administration Undergraduates;2937656;Working Paper Series;UNDER REVIEW;False;Higher School of Economics Research Paper No. WP BRP 07/PSP/2017;37;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2937656;National Research University Higher School of Economics (Moscow) and Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Moscow Campus;True;22 Mar 2017;99;2659957;Jaekel;Tim;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2659957;2666572.0;Borshchevskiy;Georgiy;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2666572;;;;;;;;;2017-03-20;Augmenting behavioral public administration to occupational intention research we investigate the link between three types of motivation, and the intention of students to work in civil service after graduation. We make detailed observations of the self-reported job preferences of 2nd public administration undergraduates in two prestigious universities in Moscow, Russian Federation. We report that federal civil service is the top destination for Russian PA undergraduates. We also report that working in federal civil service by far triumphs over regional public administration in terms of self-reported occupational intention. We also make in-depth observations of the expected utility underlying students’ job preferences. We use these observations to propose a general model of civil service job intention. The model posits that the intention to work in civil service after graduation results from two major sources: the perceived expectation from parents with a civil service background, and the expected utility from four benefits of public sector employment. We empirically demonstrate that public service motivation is positively correlated with the intention to work in civil service after graduation.;en;0.8335027098655701;en;0.9393259286880492;True;2;;;;;;empty_affiliation;;;;;empty_affiliation;
The Moderating Influence of Behavioral Integrity on the Effect of Reporting Channel Administration and Bystander Awareness on Whistleblowing Intentions;2937489;Working Paper Series;UNDER REVIEW;False;;0;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2937489;Renmin University of China and Washington State University;True;21 Mar 2017;0;2664954;Gao;Jingyu;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2664954;1772997.0;Wong-On-Wing;Bernard;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1772997;;;;;;;;;2017-03-17;Behavioral integrity refers to the perceived pattern of alignment between an actor's words and deeds. This study examines the influence of management’s behavioral integrity with respect to whistleblowing, on employees’ intention to report fraudulent acts. We posit that high behavioral integrity will:(1) overcome the effect of perceived low assurance of whistleblower anonymity associated with internally administered reporting channels, and (2) improve the low likelihood of whistleblowing due to the bystander effect. The results of our experiment indicate that when behavioral integrity is high (low), the likelihood of whistleblowing is significantly higher (lower) if the reporting channel is administered internally than if it is administered externally. Similarly, when management’s behavioral integrity is high (low), whistleblowing intentions are stronger (weaker) when bystanders are aware of the would-be whistleblower’s knowledge of the fraud than when they are not aware. We discuss implications for research and practice.;en;0.8213379979133606;en;0.926543951034546;True;1;Renmin University of China;Washington State University;Renmin University of China;https://ror.org/041pakw92;China;matched;041pakw92;Washington State University;https://ror.org/05dk0ce17;United States;matched;05dk0ce17
Optimal Tax Administration;2924371;Working Paper Series;UNDER REVIEW;False;IMF Working Paper No. 17/8;28;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2924371;International Monetary Fund (IMF) - Fiscal Affairs Department and University of Michigan, Stephen M. Ross School of Business;True;07 Mar 2017;253;88164;Keen;Michael;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=88164;30516.0;Slemrod;Joel B.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=30516;;;;;;;;;;This paper sets out a framework for analyzing optimal interventions by a tax administration, one that parallels and can be closely integrated with established frameworks for thinking about optimal tax policy. Its key contribution is the development of a summary measure of the impact of administrative interventions - the 'enforcement elasticity of tax revenue' - that is a sufficient statistic for the behavioral response to such interventions, much as the elasticity of taxable income serves as a sufficient statistic for the response to tax rates. Amongst the applications are characterizations of the optimal balance between policy and administrative measures, and of the optimal compliance gap.;en;0.7405343651771545;en;0.9422178268432616;True;1;International Monetary Fund (IMF) - Fiscal Affairs Department;University of Michigan, Stephen M. Ross School of Business;International Monetary Fund;https://ror.org/05m4rmw09;United States;matched;05m4rmw09;University of Michigan;https://ror.org/00jmfr291;United States;matched;00jmfr291
Impact of a Program that Encourages Teaching Performance in the Business Administration Degree of the Faculty of Accounting and Administration of the University 'Universidad Veracruzana', Xalapa Region (Impact of a Program that Encourages Teaching Performance in the Business Administration Degree of the Faculty of Accounting and Administration of the University 'Universidad Veracruzana', Xalapa Region);2916341;Accepted Paper Series;UNDER REVIEW;False;Revista Global de Negocios,  v.   5  (5)   p.  25-36;12;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2916341;Universidad Veracruzana and Universidad Veracruzana;True;03 Mar 2017;60;2651986;Garizurieta Bernabe;Jessica;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2651986;2651987.0;Cordoba Romero;Alexia Suyevith;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2651987;;;;;;;;;;Spanish Abstract: Parte de la política de Educación Superior que el Estado mexicano instrumentó hacia las universidades públicas en las últimas tres décadas han sido los distintos programas de estímulos a profesores e investigadores que dedicaban tiempo completo a sus tareas docentes y de investigación. A través de dichos programas se busca no sólo lograr la dinámica integral de superación en las universidades, sino también, retribuir el rendimiento e impulsar la productividad docente, la cual va ligada de la motivación haciendo un proceso de apertura al cambio y la renovación  siendo esta última reflejo de los resultados obtenidos en el aula. En este sentido, el presente estudio busca analizar el desempeño de los docentes de la Universidad Veracruzana, específicamente en la Facultad de Contaduría y Administración campus Xalapa  a fin de analizar la influencia de estos estímulos dentro de sus actividades educativas. English Abstract: Higher Education policy that the Mexican government implemented toward public universities in the past three decades have included different incentive programs for full-time teachers and researchers. Through these programs we seek to improve comprehensive dynamic improvement in universities and reward performance and encourage faculty productivity.  This productivity is linked to motivation by a process of openness to change and renewal.  Renewal being reflective of the results obtained in the classroom. The present study analyzes the performance of teachers at the Universidad Veracruzana. Specifically, we examine teaching in the School of Accounting and Administration campus Xalapa.;en;0.7884730696678162;es;0.6474015712738037;False;1;Universidad Veracruzana;Universidad Veracruzana;Universidad Veracruzana;https://ror.org/03efxn362;Mexico;matched;03efxn362;Universidad Veracruzana;https://ror.org/03efxn362;Mexico;matched;03efxn362
Regulatory Innovations in the Governance of Decent Work for Domestic Workers in Côte D&rsquoIvoire: Labour Administration and the Judiciary Under a Generalist Labour Code;2926783;Working Paper Series;UNDER REVIEW;False;"Adelle Blackett with the collaboration of Assata Koné-Silué ""Regulatory Innovation in the Governance of Decent Work for Domestic Workers in Côte d'Ivoire: Labour Administration and the Judiciary under a generalist Labour Code"" LLDRL Working Paper Series WP #6 (2016)";37;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2926783;and Universite Félix Houphouet Boigny - University of Felix Houphouet Boigny;True;03 Mar 2017;60;272097;Blackett;Adelle;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=272097;2659030.0;Koné-Silué;Assata;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=2659030;;;;;;;;;;This study looks closely at Ivoirian initiatives to acknowledge and redress the paradox of domestic workers’ simultaneous ubiquity and invisibility. It takes a close look at the nature and quality of domestic workers’ inclusion under the generalist labour law framework. In some contexts, including neighbouring Ghana, it has been affirmed that domestic workers may textually be included in a generalist code, but in practice, excluded from its application. This study has shed light on a more complex dynamic at play in Côte d’Ivoire. Without a doubt, the prevalence of domestic work undertaken under particularly precarious conditions attests to the significance of domestic workers’ marginalization under labour law. However, the working paper similarly reveals that inclusion under the Labour Code, and specialized institutions dedicated to the enforcement of workers’ rights, is not a mere chimera. On the contrary, throughout one of the most destabilizing moments in Côte d’Ivoire’s history, during the crisis from 1999–2011, the labour administration and the specialized labour tribunal regularly addressed an appreciable number of cases of domestic workers’ rights under the employment relationship. Coupled with the interviews conducted for this study, we were able to identify a sensitivity amongst the labour inspectorate, as well as some jurisprudential evolution affirming that domestic workers are workers like any other, to whom key aspects of general labour law should apply. However, the application of the Labour Code and related labour laws to domestic workers was limited in its depth and breadth. The case law showed a solid appreciation of basic employer obligations that might lead to termination, as well as the variety of termination damages that an employee may claim. In some cases the courts attentively applied the minimum wage provisions or awarded the employee indemnities for the employer’s failure to register the domestic worker for social security protections. However, the inquiry stopped short when the specificity of the domestic work paradigm – as witnessed through working time law and the live in relationship – was more squarely before the courts. It is not surprising, therefore, that labour relations and civil society actors continue to call for specific regulation of decent work for domestic workers in Côte d’Ivoire, and that an initiative to adopt a special decree on domestic workers is underway. We argue that there is a need for initiatives on decent work for domestic workers to be built through multi-level social dialogue, to ensure that the legislative and regulatory initiatives are informed both by the generalist courts’ decisions, by the international standard setting and by domestic workers’ transnational social movements.;en;0.8002150058746338;en;0.9572033882141112;True;0;;;;;;empty_affiliation;;;;;empty_affiliation;
Public Administration Education in CEE Countries: Institutionalization of a Discipline;2913516;Accepted Paper Series;UNDER REVIEW;False;Policy and Society, December 2016, Forthcoming;29;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2913516;Comenius University, affiliation not provided to SSRN and Hungarian Academy of Sciences (HAS) - Centre for Social Sciences;True;08 Feb 2017;46;1750156;Staronova;Katarina;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1750156;1854272.0;Gajduschek;Gyorgy;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=1854272;;;;;;;;;2016-12-08;The array of public affairs programs has been growing in the past 27 years in the countries of Central and Eastern Europe. Traditionally, public administration programs concentrated primarily on legal and formal institutional aspects of governing, whereas public policy and management programs were entirely absent and remain relatively new. This article discusses the contents of the MPA/MPP programs in five CEE countries (the Czech Republic, Estonia, Hungary, Slovakia and Slovenia) in order to identify major features in terms of the disciplinary and methodological character of these programs. Our ultimate question is to assess whether these programs reveal a clear, relatively robust public administration “identity,” and whether there is a convergence among programs in the region toward the so-called mainstream programs in the world.;en;0.8287039995193481;en;0.9389238357543944;True;1;Comenius University, affiliation not provided to SSRN;Hungarian Academy of Sciences (HAS) - Centre for Social Sciences;Kalinga Institute of Social Sciences;https://ror.org/03r2yny04;India;matched;03r2yny04;Centre for Social Sciences;https://ror.org/0492k9x16;Hungary;matched;0492k9x16
Whither Antitrust Enforcement in the Trump Administration?;2881550;Accepted Paper Series;UNDER REVIEW;False;February 2017 Antitrust Source 1;21;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2881550;Georgetown University Law Center and University of California, Berkeley - Haas School of Business;True;09 Dec 2016;187;68535;Salop;Steven C.;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=68535;20327.0;Shapiro;Carl;https://papers.ssrn.com/sol3/cf_dev/AbsByAuth.cfm?per_id=20327;;;;;;;;;;The Trump Administration might follow Donald Trump’s populist campaign rhetoric and adopt an approach to antitrust enforcement that emphasizes reining in corporate power.  This approach would honor the preferences of the working-class voters who have put Trump into office by vigorously enforcing the antitrust laws controlling mergers and exclusionary conduct by dominant firms.  Alternatively, the Trump Administration might adopt a highly permissive, laissez-faire approach to antitrust.  That approach would allow further consolidation of corporate power and would disappoint the substantial majority of Americans who believe that the American economy is rigged to advantage the rich and powerful.  We discuss these alternative approaches and offer a number of suggestions for how the Trump Administration can use antitrust enforcement and competition policy to rein in corporate power while respecting antitrust precedent and staying true to modern antitrust principles.;en;0.7471665143966675;en;0.90189391374588;True;1;Georgetown University Law Center;University of California, Berkeley - Haas School of Business;Georgetown University;https://ror.org/05vzafd60;United States;matched;05vzafd60;University of California, Berkeley;https://ror.org/01an7q238;United States;matched;01an7q238
