raw_name;cleaned_name;ror_name;ror_link;country;ror_status
GNLU Centre for Empirical & Applied Research in Law & Interdisciplinary Studies;gnlucentreforempiricalappliedresearchinlawinterdisciplinarystudies;Center for Interdisciplinary Studies;https://ror.org/03whr7s66;India;matched
affiliation not provided to SSRN;affiliationnotprovidedtossrn;Girls Not Brides;https://ror.org/04nm9tm11;United Kingdom;matched
University of Oxford;universityofoxford;University of Oxford;https://ror.org/052gg0110;United Kingdom;matched
University of California, Berkeley - Department of Economics;universityofcaliforniaberkeleydepartmentofeconomics;University of California, Berkeley;https://ror.org/01an7q238;United States;matched
University of Michigan at Ann Arbor;universityofmichiganatannarbor;University of Michigan;https://ror.org/00jmfr291;United States;matched
Parental House;parentalhouse;Meta House;https://ror.org/059zyyv27;United States;matched
Cornell University - Law School;cornelluniversitylawschool;Cornell University;https://ror.org/05bnh6r87;United States;matched
University of Kansas;universityofkansas;University of Kansas;https://ror.org/001tmjg57;United States;matched
University of Auckland Business School;universityofaucklandbusinessschool;University of Auckland;https://ror.org/03b94tp07;New Zealand;matched
Korea Development Institute (KDI);koreadevelopmentinstitutekdi;Korea Development Institute;https://ror.org/02h7vzs32;South Korea;matched
World Bank;worldbank;World Bank;https://ror.org/00ae7jd04;United States;matched
Webster University Geneva;websteruniversitygeneva;Webster University Geneva;https://ror.org/0533m8c72;Switzerland;matched
Independent;independent;;;;no_match
saveetha Engineering college;saveethaengineeringcollege;AAA College of Engineering and Technology;https://ror.org/0281pgk04;India;matched
University of Dhaka - Department of Development Studies;universityofdhakadepartmentofdevelopmentstudies;University of Dhaka;https://ror.org/05wv2vq37;Bangladesh;matched
Green Valley College - Green Valley College Foundation Inc.;greenvalleycollegegreenvalleycollegefoundationinc;Lebanon Valley College;https://ror.org/05py5qd41;United States;matched
St. Joseph's College _utonomous), Jakhama;stjosephscollegeutonomousjakhama;St. Joseph Hospital;https://ror.org/05bfknj54;United States;matched
Bialystok University of Technology;bialystokuniversityoftechnology;Bialystok University of Technology;https://ror.org/02bzfsy61;Poland;matched
Mahatma Gandhi University, Nalgonda;mahatmagandhiuniversitynalgonda;Mahatma Gandhi University, Nalgonda;https://ror.org/05n7bzj69;India;matched
University B.D.T. College of Engineering;universitybdtcollegeofengineering;University B.D.T College of Engineering;https://ror.org/033dx8j94;India;matched
University of Debrecen;universityofdebrecen;University of Debrecen;https://ror.org/02xf66n48;Hungary;matched
Jazan University;jazanuniversity;Jazan University;https://ror.org/02bjnq803;Saudi Arabia;matched
Autonomous University of Barcelona;autonomousuniversityofbarcelona;Universitat Autnoma de Barcelona;https://ror.org/052g8jq94;Spain;matched
Obafemi Awolowo University;obafemiawolowouniversity;Obafemi Awolowo University;https://ror.org/04snhqa82;Nigeria;matched
USDA Forest Service;usdaforestservice;US Forest Service;https://ror.org/03zmjc935;United States;matched
Conscious Planet - Save Soil;consciousplanetsavesoil;Save Ellis Island;https://ror.org/05077g455;United States;matched
RTM Nagpur University - Department of Economics;rtmnagpuruniversitydepartmentofeconomics;Ministry of Economics;https://ror.org/00kzfz874;Latvia;matched
KDI School of Public Policy and Management;kdischoolofpublicpolicymanagement;KDI School of Public Policy and Management;https://ror.org/035g89j34;South Korea;matched
Kaneff University Hospital;kaneffuniversityhospital;Shimane University Hospital;https://ror.org/03nvpm562;Japan;matched
Ohio State University (OSU) - Department of Agricultural, Environmental & Development Economics;ohiostateuniversityosudepartmentofagriculturalenvironmentaldevelopmenteconomics;The Ohio State University;https://ror.org/00rs6vg23;United States;matched
University of Kent - Kent Business School;universityofkentkentbusinessschool;University of Kent;https://ror.org/00xkeyj56;United Kingdom;matched
University of Delhi - Miranda House;universityofdelhimirandahouse;University of Delhi;https://ror.org/04gzb2213;India;matched
All-Russian Research Institute of Agricultural Economics;allrussianresearchinstituteofagriculturaleconomics;Agrrkzgazdasgi Intzet;https://ror.org/01rngv472;Hungary;matched
Cracow University of Economics;cracowuniversityofeconomics;Krakow University of Economics;https://ror.org/0262te083;Poland;matched
Goa University;goauniversity;Goa University;https://ror.org/030reqw53;India;matched
Indian Institute of Foreign Trade;indianinstituteofforeigntrade;Indian Institute of Foreign Trade;https://ror.org/00efgh409;India;matched
Department of Management, University of Dhaka;departmentofmanagementuniversityofdhaka;University of Dhaka;https://ror.org/05wv2vq37;Bangladesh;matched
Moldova University, Chisinau;moldovauniversitychisinau;Soai University;https://ror.org/059fmyk31;Japan;matched
Nanyang Technological University (NTU);nanyangtechnologicaluniversityntu;Nanyang Technological University;https://ror.org/02e7b5302;Singapore;matched
Queensland University of Technology (QUT);queenslanduniversityoftechnologyqut;Queensland University of Technology;https://ror.org/03pnv4752;Australia;matched
University of Dhaka;universityofdhaka;University of Dhaka;https://ror.org/05wv2vq37;Bangladesh;matched
Jomo Kenyatta University of Agriculture and Technology;jomokenyattauniversityofagriculturetechnology;Jomo Kenyatta University of Agriculture and Technology;https://ror.org/015h5sy57;Kenya;matched
University of Wollongong;universityofwollongong;University of Wollongong;https://ror.org/00jtmb277;Australia;matched
University of Delhi;universityofdelhi;University of Delhi;https://ror.org/04gzb2213;India;matched
M.M.H. College;mmhcollege;Army Medical College;https://ror.org/03w0kj141;Pakistan;matched
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA);russianacademyofnationaleconomypublicadministrationunderthepresidentoftherussianfederationranepa;Russian Academy of Arts;https://ror.org/05960ca78;Russia;matched
Universit de Ouahigouya;universitdeouahigouya;Universit de Ouahigouya;https://ror.org/034np8920;Burkina Faso;matched
University of Manitoba;universityofmanitoba;University of Manitoba;https://ror.org/02gfys938;Canada;matched
Bangalore University;bangaloreuniversity;Bangalore University;https://ror.org/050j2vm64;India;matched
Natesan Institute of Cooperative Management;natesaninstituteofcooperativemanagement;The Century Foundation;https://ror.org/02fkyk293;United States;matched
