old names;ror_name;ror_id
Dimitrie Cantemir University of Tirgu-Mures;Dimitrie Cantemir University;05ykvq143
University of Castilla-La Mancha;University of Castilla-La Mancha;05r78ng12
International Monetary Fund (IMF) - Fiscal Affairs Department;International Monetary Fund;05m4rmw09
International Monetary Fund (IMF);International Monetary Fund;05m4rmw09
International Monetary Fund (IMF) - Fiscal Affairs Department;International Monetary Fund;05m4rmw09
International Monetary Fund (IMF);International Monetary Fund;05m4rmw09
International Monetary Fund (IMF) - Fiscal Affairs Department;International Monetary Fund;05m4rmw09
International Monetary Fund (IMF);International Monetary Fund;05m4rmw09
International Monetary Fund (IMF) - Fiscal Affairs Department;International Monetary Fund;05m4rmw09
International Monetary Fund (IMF);International Monetary Fund;05m4rmw09
Walden University;Walden University;02qp2hh41
Queen's University;Queen's University;02y72wh86
University of Michigan at Ann Arbor;University of Michigan;00jmfr291
Indiana University;Indiana University;01kg8sb98
Cornell University;Cornell University;05bnh6r87
UC Law, San Francisco;University of California, San Francisco;043mz5j54
Drake University - Law School;Drake University;001skmk61
University of Las Palmas de Gran Canaria;Universidad de Las Palmas de Gran Canaria;01teme464
Universidad Externado de Colombia;Universidad Externado de Colombia;02xtwpk10
Università di Bologna;University of Bologna;01111rn36
University of Colorado at Boulder;University of Colorado Health;0107w4315
University of Colorado at Boulder - Department of Economics;University of Colorado Health;0107w4315
University of Colorado at Denver;University of Colorado Health;0107w4315
University of Colorado at Boulder;University of Colorado Health;0107w4315
University of Colorado at Boulder - Department of Economics;University of Colorado Health;0107w4315
University of Colorado at Denver;University of Colorado Health;0107w4315
University of Colorado at Boulder;University of Colorado Health;0107w4315
University of Colorado at Boulder - Department of Economics;University of Colorado Health;0107w4315
University of Colorado at Denver;University of Colorado Health;0107w4315
University of Colorado at Boulder;University of Colorado Health;0107w4315
University of Colorado at Boulder - Department of Economics;University of Colorado Health;0107w4315
University of Colorado at Denver;University of Colorado Health;0107w4315
