raw_name;cleaned_name
GNLU Centre for Empirical & Applied Research in Law & Interdisciplinary Studies;gnlucentreforempiricalappliedresearchinlawinterdisciplinarystudies
affiliation not provided to SSRN;affiliationnotprovidedtossrn
University of Oxford;universityofoxford
University of California, Berkeley - Department of Economics;universityofcaliforniaberkeleydepartmentofeconomics
University of Michigan at Ann Arbor;universityofmichiganatannarbor
Parental House;parentalhouse
Cornell University - Law School;cornelluniversitylawschool
University of Kansas;universityofkansas
University of Auckland Business School;universityofaucklandbusinessschool
Korea Development Institute (KDI);koreadevelopmentinstitutekdi
World Bank;worldbank
Webster University Geneva;websteruniversitygeneva
Independent;independent
saveetha Engineering college;saveethaengineeringcollege
University of Dhaka - Department of Development Studies;universityofdhakadepartmentofdevelopmentstudies
Green Valley College - Green Valley College Foundation Inc.;greenvalleycollegegreenvalleycollegefoundationinc
St. Joseph's College ʊutonomous), Jakhama;stjosephscollegeutonomousjakhama
Bialystok University of Technology;bialystokuniversityoftechnology
Mahatma Gandhi University, Nalgonda;mahatmagandhiuniversitynalgonda
University B.D.T. College of Engineering;universitybdtcollegeofengineering
University of Debrecen;universityofdebrecen
Jazan University;jazanuniversity
Autonomous University of Barcelona;autonomousuniversityofbarcelona
Obafemi Awolowo University;obafemiawolowouniversity
USDA Forest Service;usdaforestservice
Conscious Planet - Save Soil;consciousplanetsavesoil
RTM Nagpur University - Department of Economics;rtmnagpuruniversitydepartmentofeconomics
KDI School of Public Policy and Management;kdischoolofpublicpolicymanagement
Kaneff University Hospital;kaneffuniversityhospital
Ohio State University (OSU) - Department of Agricultural, Environmental & Development Economics;ohiostateuniversityosudepartmentofagriculturalenvironmentaldevelopmenteconomics
University of Kent - Kent Business School;universityofkentkentbusinessschool
University of Delhi - Miranda House;universityofdelhimirandahouse
All-Russian Research Institute of Agricultural Economics;allrussianresearchinstituteofagriculturaleconomics
Cracow University of Economics;cracowuniversityofeconomics
Goa University;goauniversity
Indian Institute of Foreign Trade;indianinstituteofforeigntrade
Department of Management, University of Dhaka;departmentofmanagementuniversityofdhaka
Moldova University, Chisinau;moldovauniversitychisinau
Nanyang Technological University (NTU);nanyangtechnologicaluniversityntu
Queensland University of Technology (QUT);queenslanduniversityoftechnologyqut
University of Dhaka;universityofdhaka
Jomo Kenyatta University of Agriculture and Technology;jomokenyattauniversityofagriculturetechnology
University of Wollongong;universityofwollongong
University of Delhi;universityofdelhi
M.M.H. College;mmhcollege
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA);russianacademyofnationaleconomypublicadministrationunderthepresidentoftherussianfederationranepa
Université de Ouahigouya;universitdeouahigouya
University of Manitoba;universityofmanitoba
Bangalore University;bangaloreuniversity
Natesan Institute of Cooperative Management;natesaninstituteofcooperativemanagement
University of Colorado Law School;universityofcoloradolawschool
Chandigarh University;chandigarhuniversity
Pontificia Universidad Catolica de Chile;pontificiauniversidadcatolicadechile
Faculty of Land and Food Systems, University of British Columbia;facultyoflandfoodsystemsuniversityofbritishcolumbia
ICAR-Central Institute for Women in Agriculture;icarcentralinstituteforwomeninagriculture
University of Florida - Food & Resource Economics Department;universityoffloridafoodresourceeconomicsdepartment
Laboratory of Innovation, Growth and Sustainability of the Andean Macro Region;laboratoryofinnovationgrowthsustainabilityoftheandeanmacroregion
Bates College;batescollege
MGIMO (Moscow State University of International Relations);mgimomoscowstateuniversityofinternationalrelations
Universidad de Alcalá;universidaddealcal
University of Johanneburg;universityofjohanneburg
Keiser University;keiseruniversity
MIT World Peace University;mitworldpeaceuniversity
ICAR- National Institute of Biotic Stress Management;icarnationalinstituteofbioticstressmanagement
Bank of Sierra Leone;bankofsierraleone
SPI CEPN Centre d⟬onomie Paris Nord;spicepncentredonomieparisnord
Colorado State University, Fort Collins - Department of Economics;coloradostateuniversityfortcollinsdepartmentofeconomics
Jawaharlal Nehru University;jawaharlalnehruuniversity
Institute of Agricultural Economics;instituteofagriculturaleconomics
Central Bicol State University of Agriculture;centralbicolstateuniversityofagriculture
Agroscope Research Center;agroscoperesearchcenter
Ashurst Australia;ashurstaustralia
Financial Research Institute of the Ministry of Finance of the Russian Federation;financialresearchinstituteoftheministryoffinanceoftherussianfederation
Tufts University - The Fletcher School of Law and Diplomacy;tuftsuniversitythefletcherschooloflawdiplomacy
Colgate University;colgateuniversity
Egerton University - Department of Agricultural Engineering;egertonuniversitydepartmentofagriculturalengineering
HEC Paris;hecparis
Economic Research Center (ERC);economicresearchcentererc
The University of Hong Kong;theuniversityofhongkong
University of Nairobi - Department of Computing and Informatics;universityofnairobidepartmentofcomputinginformatics
Bangladesh Bank;bangladeshbank
United Nations - Conference on Trade and Development (UNCTAD);unitednationsconferenceontradedevelopmentunctad
Islamic Azad University, Firoozkooh Branch;islamicazaduniversityfiroozkoohbranch
Tilburg Law and Economics Center (TILEC);tilburglaweconomicscentertilec
Korea Institute for International Economic Policy;koreainstituteforinternationaleconomicpolicy
BAIF Development Research Foundation;baifdevelopmentresearchfoundation
Paris-Saclay Applied Economics;parissaclayappliedeconomics
Doctoral membership from Financial management Association,Doctoral membership from united kingdom Association of professional,PhD scholar of science publications journal,Google scholar,;doctoralmembershipfromfinancialmanagementassociationdoctoralmembershipfromunitedkingdomassociationofprofessionalphdscholarofsciencepublicationsjournalgooglescholar
МГИМО;
Wroclaw University of Economics and Business;wroclawuniversityofeconomicsbusiness
Società Italiana di Economia Demografia e Statistica (SIEDS);societitalianadieconomiademografiaestatisticasieds
National Research Institute (PIB) - Institute of Agricultural and Food Economics - National Research Institute (IAFE-NRI);nationalresearchinstitutepibinstituteofagriculturalfoodeconomicsnationalresearchinstituteiafenri
CHRIST (Deemed to be University);christdeemedtobeuniversity
Tribhuwana Tunggadewi University;tribhuwanatunggadewiuniversity
Indian Institute of Foreign Trade - Centre for WTO Studies;indianinstituteofforeigntradecentreforwtostudies
Geographical Institute 'Jovan Cvijić' SASA;geographicalinstitutejovancvijisasa
Azerbaijan State Agricultural University;azerbaijanstateagriculturaluniversity
Late. Mansaramji Padole Arts College Ganeshapur Bhandara;latemansaramjipadoleartscollegeganeshapurbhandara
Shri Jairambhai Patel Institute of Business Management and Computer Applications;shrijairambhaipatelinstituteofbusinessmanagementcomputerapplications
University of CEMA;universityofcema
Massachusetts Institute of Technology (MIT);massachusettsinstituteoftechnologymit
Keith Boyfield Associates;keithboyfieldassociates
Rathinam College of Arts & Science, Coimbatore, Tamil Nadu, India.;rathinamcollegeofartssciencecoimbatoretamilnaduindia
Rathinam College of Arts and Science, Coimbatore, Tamilnadu, India;rathinamcollegeofartssciencecoimbatoretamilnaduindia
Top Tax;toptax
Cambodia Development Resource Institute (CDRI);cambodiadevelopmentresourceinstitutecdri
Lycée George Sand, EPL du Velay;lycegeorgesandeplduvelay
Independent Researcher;independentresearcher
Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon-425001, India;kavayitribahinabaichaudharinorthmaharashtrauniversityjalgaon425001india
Institute of Economic Affairs (IEA);instituteofeconomicaffairsiea
Free University of Bozen-Bolzano;freeuniversityofbozenbolzano
Aadhavan College of Arts & Science - Department of Commerce;aadhavancollegeofartssciencedepartmentofcommerce
Université Paris I Panthéon-Sorbonne - Centre d'Economie de la Sorbonne (CES);universitparisipanthonsorbonnecentredeconomiedelasorbonneces
Vietnam Aviation Academy;vietnamaviationacademy
National Research Institute - Institute of Agricultural and Food Economics - National Research Institute (IAFE-NRI);nationalresearchinstituteinstituteofagriculturalfoodeconomicsnationalresearchinstituteiafenri
Pope John Paul II State School of Higher Vocational Education;popejohnpauliistateschoolofhighervocationaleducation
University of Göttingen;universityofgttingen
Universitas Djuanda;universitasdjuanda
Department of Sustainability Studies;departmentofsustainabilitystudies
Consultant;consultant
State Enterprise - M. P. Shulgin State Road Research Institute State Enterprise;stateenterprisempshulginstateroadresearchinstitutestateenterprise
Hanken School of Economics;hankenschoolofeconomics
Thiruvalluvar University;thiruvalluvaruniversity
United Nations - Food and Agriculture Organization (FAO);unitednationsfoodagricultureorganizationfao
IoBM;iobm
Vihara Foundation;viharafoundation
BPS Mahila Vishwavidyalaya;bpsmahilavishwavidyalaya
Romanian Academy;romanianacademy
Institute of Rural and Agricultural Development, Polish Academy of Sciences;instituteofruralagriculturaldevelopmentpolishacademyofsciences
Institute of Agricultural Economics, Romanian Academy;instituteofagriculturaleconomicsromanianacademy
University of Łódź, Department Regional and Human Geography;universityofddepartmentregionalhumangeography
North-Eastern Hill University (NEHU) - Department of Economics;northeasternhilluniversitynehudepartmentofeconomics
University of Zimbabwe;universityofzimbabwe
Odessa National Academy Of Food Technologies;odessanationalacademyoffoodtechnologies
Universität Osnabrück, Institut für Finanz- und Steuerrecht, Moldova State University, Department Finance and Banks;universittosnabrckinstitutfrfinanzundsteuerrechtmoldovastateuniversitydepartmentfinancebanks
Poznan University of Life Sciences, Poland;poznanuniversityoflifesciencespoland
Rzeszow University of Technology;rzeszowuniversityoftechnology
Institute of Geography and Spatial Organization Polish Academy of Sciences;instituteofgeographyspatialorganizationpolishacademyofsciences
Institute of Rural and Agricultural Development Polish Academy of Sciences;instituteofruralagriculturaldevelopmentpolishacademyofsciences
Bangladesh Army International University of Science and Technology (BAIUST) - Department of Business Administration, Bangladesh Army International University of Science and Technology;bangladesharmyinternationaluniversityofsciencetechnologybaiustdepartmentofbusinessadministrationbangladesharmyinternationaluniversityofsciencetechnology
Azerbaijan State University of Economics (UNEC);azerbaijanstateuniversityofeconomicsunec
Asian Organic Agricultural Research and Development Institute (AOI);asianorganicagriculturalresearchdevelopmentinstituteaoi
Indian Institute of Foreign Trade, New Delhi Campus;indianinstituteofforeigntradenewdelhicampus
Cooch Behar Agricultural Science Center;coochbeharagriculturalsciencecenter
University of Calgary;universityofcalgary
Dr. Harisingh Gour University - Department of Commerce;drharisinghgouruniversitydepartmentofcommerce
George Mason University - Department of Economics;georgemasonuniversitydepartmentofeconomics
Former Student of Queen Mary University of London;formerstudentofqueenmaryuniversityoflondon
Ballsbridge University;ballsbridgeuniversity
NYU Stern Department of Economics;nyusterndepartmentofeconomics
Hooghly Mohsin College;hooghlymohsincollege
The University of Western Australia - UWA Business School;theuniversityofwesternaustraliauwabusinessschool
Suresh Gyan Vihar University;sureshgyanviharuniversity
University of Delhi - Department of Financial Studies;universityofdelhidepartmentoffinancialstudies
Guangxi University;guangxiuniversity
The Johns Hopkins University;thejohnshopkinsuniversity
Sri Krishna College of Technology;srikrishnacollegeoftechnology
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Stolypin Volga Region Institute of Administration;russianacademyofnationaleconomypublicadministrationunderthepresidentoftherussianfederationranepastolypinvolgaregioninstituteofadministration
Australian National University (ANU) - Australia South Asia Research Centre (ASARC);australiannationaluniversityanuaustraliasouthasiaresearchcentreasarc
Texas Tech University, College of Agricultural Sciences and Natural Resources, Department of Agricultural and Applied Economics, Students;texastechuniversitycollegeofagriculturalsciencesnaturalresourcesdepartmentofagriculturalappliedeconomicsstudents
Univ. Of Arizona College of Law;univofarizonacollegeoflaw
Department of Management, University of Rome La Sapienza, Italy;departmentofmanagementuniversityofromelasapienzaitaly
Shaheed Bhagat Singh College, University of Delhi;shaheedbhagatsinghcollegeuniversityofdelhi
Chukwuemeka Odumegwu Ojukwu University - Department of Business Administration;chukwuemekaodumegwuojukwuuniversitydepartmentofbusinessadministration
GNIMS;gnims
Univesity of Lagos;univesityoflagos
Ankara University;ankarauniversity
Sindh Madressatul Islam University;sindhmadressatulislamuniversity
NOVA Community College;novacommunitycollege
Pforzheim University;pforzheimuniversity
Srinivas University;srinivasuniversity
University of Sfax - National School of Engineering of Sfax;universityofsfaxnationalschoolofengineeringofsfax
Dr. Ambedkar Institute of Management Studies and Research;drambedkarinstituteofmanagementstudiesresearch
University of California, San Diego - School of Global Policy and Strategy;universityofcaliforniasandiegoschoolofglobalpolicystrategy
The Lyme Timber Company LP;thelymetimbercompanylp
Department of Primary Industries and Regional Development, Western Australia;departmentofprimaryindustriesregionaldevelopmentwesternaustralia
University of Bonn - Center for Development Research (ZEF);universityofbonncenterfordevelopmentresearchzef
Stanford University;stanforduniversity
University of Adelaide;universityofadelaide
Warsaw University of Life Sciences;warsawuniversityoflifesciences
Jamia Millia Islamia (A Central University), Faculty of Law, Students;jamiamilliaislamiaacentraluniversityfacultyoflawstudents
Faculty of Business Administration and Liberal Arts, Rajamangala University of Technology Lanna Tak, Thailand;facultyofbusinessadministrationliberalartsrajamangalauniversityoftechnologylannatakthailand
Akdeniz Üniversitesi;akdenizniversitesi
International Food Policy Research Institute (IFPRI);internationalfoodpolicyresearchinstituteifpri
Lincoln Agritech Limited;lincolnagritechlimited
Faculty of Business Administration, Rajamangala University of Technology Phra Nakhon, Thailand;facultyofbusinessadministrationrajamangalauniversityoftechnologyphranakhonthailand
University of Lagos, Faculty of Social Sciences, Department of Sociology;universityoflagosfacultyofsocialsciencesdepartmentofsociology
International Institute for Development Studies;internationalinstitutefordevelopmentstudies
The Rural Economy and Agricultural Society;theruraleconomyagriculturalsociety
Goa Institute of Management;goainstituteofmanagement
Gokhale Institute of Politics and Economics;gokhaleinstituteofpoliticseconomics
Auburn University;auburnuniversity
S.S.L. Jain P.G. College - Department of Political science;ssljainpgcollegedepartmentofpoliticalscience
Tarlac Agricultural University (TAU) (Formerly the Tarlac College of Agriculture);tarlacagriculturaluniversitytauformerlythetarlaccollegeofagriculture
Valparaiso University - Department of Economics;valparaisouniversitydepartmentofeconomics
Hanyang University;hanyanguniversity
United Nations Development Programme;unitednationsdevelopmentprogramme
Center for Development Research (ZEF), University of Bonn;centerfordevelopmentresearchzefuniversityofbonn
Institute of Technology and Life Sciences,  Warsaw Campus;instituteoftechnologylifescienceswarsawcampus
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Institute of Applied Economic Research;russianacademyofnationaleconomypublicadministrationunderthepresidentoftherussianfederationranepainstituteofappliedeconomicresearch
Tyche Investments - Climate Consulting Group;tycheinvestmentsclimateconsultinggroup
ICAR-National Academy of Agricultural Research Management;icarnationalacademyofagriculturalresearchmanagement
KU Leuven - Centre for Institutions and Economic Performance (LICOS);kuleuvencentreforinstitutionseconomicperformancelicos
Independent, Independent;independentindependent
Universidad EAFIT;universidadeafit
Ca Foscari University of Venice - Dipartimento di Economia;cafoscariuniversityofvenicedipartimentodieconomia
Martin Luther University of Halle-Wittenberg;martinlutheruniversityofhallewittenberg
NAARM;naarm
Faculty of Law SRM University Delhi-NCR Sonepat;facultyoflawsrmuniversitydelhincrsonepat
Universidad Nacional Mayor de San Marcos;universidadnacionalmayordesanmarcos
International Council for Family Business;internationalcouncilforfamilybusiness
University Institute of Lisbon (ISCTE-IUL);universityinstituteoflisboniscteiul
CPB Netherlands Bureau of Economic Policy Analysis;cpbnetherlandsbureauofeconomicpolicyanalysis
Western Sydney University, School of Law;westernsydneyuniversityschooloflaw
University of Antwerp Law and Development Research Group and Institute of Policy Development;universityofantwerplawdevelopmentresearchgroupinstituteofpolicydevelopment
affiliation not provided to SSRN , Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Institute of Applied Economic Research;affiliationnotprovidedtossrnrussianacademyofnationaleconomypublicadministrationunderthepresidentoftherussianfederationranepainstituteofappliedeconomicresearch
Institute of Agricultural Economics (IEA) Belgrade;instituteofagriculturaleconomicsieabelgrade
Sorbonne University;sorbonneuniversity
Ministry of Industry and Technology;ministryofindustrytechnology
Michigan State University - College of Law;michiganstateuniversitycollegeoflaw
Institute of Development Studies (IDS), Brighton;instituteofdevelopmentstudiesidsbrighton
Solapur University, Shri Sant Damaji College;solapuruniversityshrisantdamajicollege
University of California, Santa Cruz, Students;universityofcaliforniasantacruzstudents
Nanjing University of Finance and Economics;nanjinguniversityoffinanceeconomics
A-Joshi Strategy Consultants (OPC) Pvt Ltd;ajoshistrategyconsultantsopcpvtltd
Institute of World Economics;instituteofworldeconomics
Academy of Economic Studies of Moldova - Faculty of Finance;academyofeconomicstudiesofmoldovafacultyoffinance
Ohio Northern University, Pettit College of Law, Students;ohionorthernuniversitypettitcollegeoflawstudents
A member of the CGIAR Consortium - International Food Policy Research Institute (IFPRI);amemberofthecgiarconsortiuminternationalfoodpolicyresearchinstituteifpri
Ethiopian Development Research Institute (EDRI);ethiopiandevelopmentresearchinstituteedri
University of Zambia (UNZA);universityofzambiaunza
Groupe d'Economie Mondiale at Sciences Po (GEM Paris);groupedeconomiemondialeatsciencespogemparis
World Bank - Development Research Group (DECRG);worldbankdevelopmentresearchgroupdecrg
The Overseas Economic Cooperation Fund, Japan (OECF);theoverseaseconomiccooperationfundjapanoecf
Department of Industrial & Management Engineering;departmentofindustrialmanagementengineering
Tilburg Law School;tilburglawschool
University of North America;universityofnorthamerica
Institute for Oil and Gas Studies, University of Cape Coast, Ghana and Kwame Nkrumah University of Science and Technology,;instituteforoilgasstudiesuniversityofcapecoastghanakwamenkrumahuniversityofsciencetechnology
Russian Presidential Academy of National Economy and Public Administration;russianpresidentialacademyofnationaleconomypublicadministration
St.Mary's College, Tuticorin;stmaryscollegetuticorin
Maharshi Dayanand University;maharshidayananduniversity
Independent, Pondicherry University;independentpondicherryuniversity
World Trade Institute;worldtradeinstitute
Graduate School of Economics, Kyoto University;graduateschoolofeconomicskyotouniversity
Institute for Studies in Industrial Development;instituteforstudiesinindustrialdevelopment
University of Oradea;universityoforadea
Vancouver School of Economics;vancouverschoolofeconomics
University of Hyderabad;universityofhyderabad
German Institute for Economic Research (DIW Berlin);germaninstituteforeconomicresearchdiwberlin
Loughborough University - Loughborough Business School;loughboroughuniversityloughboroughbusinessschool
PES University;pesuniversity
Samara University;samarauniversity
Prof. S K Chakraborty Memorial Trust;profskchakrabortymemorialtrust
Princeton University;princetonuniversity
University of Delhi - Shri Ram College of Commerce;universityofdelhishriramcollegeofcommerce
Woldia University;woldiauniversity
Temple University - Dept of Risk, Insurance & Health Management;templeuniversitydeptofriskinsurancehealthmanagement
Foreign Trade University (FTU);foreigntradeuniversityftu
Stefan cel Mare University;stefancelmareuniversity
Labour Law Community (Belarus);labourlawcommunitybelarus
University of Bordeaux - Centre Émile Durkheim;universityofbordeauxcentremiledurkheim
Prenza National High School;prenzanationalhighschool
California State University, Dominguez Hills;californiastateuniversitydominguezhills
Royal Melbourne Institute of Technology (RMIT University);royalmelbourneinstituteoftechnologyrmituniversity
Illinois FOP Labor Council;illinoisfoplaborcouncil
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Laboratory of Historical and Cultural Studies;russianacademyofnationaleconomypublicadministrationunderthepresidentoftherussianfederationranepalaboratoryofhistoricalculturalstudies
Massachusetts Institute of Technology (MIT) - Department of Economics;massachusettsinstituteoftechnologymitdepartmentofeconomics
University of Florida - Warrington College of Business;universityoffloridawarringtoncollegeofbusiness
University of Texas at Arlington - Department of Accounting;universityoftexasatarlingtondepartmentofaccounting
State University of Bangladesh;stateuniversityofbangladesh
Universitas Muhammadiyah Palopo;universitasmuhammadiyahpalopo
The American University in Cairo;theamericanuniversityincairo
University of Paderborn;universityofpaderborn
George Mason University - Antonin Scalia Law School;georgemasonuniversityantoninscalialawschool
University of Southern Denmark (SDU Business School);universityofsoutherndenmarksdubusinessschool
Keio University;keiouniversity
George Washington University - School of Business;georgewashingtonuniversityschoolofbusiness
Maharshi Dayanand University - Institute of Management Studies & Research;maharshidayananduniversityinstituteofmanagementstudiesresearch
Vienna University of Economics and Business;viennauniversityofeconomicsbusiness
Shenzhen Technology University;shenzhentechnologyuniversity
University of Colorado School of Law;universityofcoloradoschooloflaw
University of Mannheim - Business School;universityofmannheimbusinessschool
London School of Economics & Political Science (LSE) - Department of Accounting and Finance;londonschoolofeconomicspoliticalsciencelsedepartmentofaccountingfinance
Vanderbilt University - Vanderbilt Law School;vanderbiltuniversityvanderbiltlawschool
Karlsruhe Institute of Technology;karlsruheinstituteoftechnology
Regional Advisory Commision on Financial Markets;regionaladvisorycommisiononfinancialmarkets
Independant;independant
Federal Reserve Bank of Boston;federalreservebankofboston
INCEIF UNIVERSITY;inceifuniversity
University of Houston;universityofhouston
New York Institute of Technology;newyorkinstituteoftechnology
Marquette University;marquetteuniversity
Institute of Management and Technology (IMT), Enugu;instituteofmanagementtechnologyimtenugu
Rajalakshmi Engineering College;rajalakshmiengineeringcollege
Florida International University (FIU) - Department of Economics;floridainternationaluniversityfiudepartmentofeconomics
Institut universitaire de France (IUF);institutuniversitairedefranceiuf
Latin American Tax Policy Forum (LATPF);latinamericantaxpolicyforumlatpf
Saurashtra University;saurashtrauniversity
Chapman University;chapmanuniversity
University of South Florida;universityofsouthflorida
University of British Columbia (UBC) - Sauder School of Business;universityofbritishcolumbiaubcsauderschoolofbusiness
Trinity College (Dublin);trinitycollegedublin
University of Wuppertal;universityofwuppertal
University of Pennsylvania - Accounting Department;universityofpennsylvaniaaccountingdepartment
Stanford Institute for Economic Policy Research (SIEPR);stanfordinstituteforeconomicpolicyresearchsiepr
Researcher;researcher
University of Nebraska-Lincoln;universityofnebraskalincoln
Blantyre International University - Accounting and Finance Department;blantyreinternationaluniversityaccountingfinancedepartment
Boston College - Department of Economics;bostoncollegedepartmentofeconomics
University of Chicago - Booth School of Business;universityofchicagoboothschoolofbusiness
Fairfield University;fairfielduniversity
University of London;universityoflondon
Wisconsin School of Business;wisconsinschoolofbusiness
Université Paris-Dauphine, PSL Research University - National Center for Scientific Research;universitparisdauphinepslresearchuniversitynationalcenterforscientificresearch
St Xavier's College;stxavierscollege
University of Texas at Austin - McCombs School of Business;universityoftexasataustinmccombsschoolofbusiness
Atma Jaya Makassar University;atmajayamakassaruniversity
Ruhr University of Bochum - Faculty of Economics;ruhruniversityofbochumfacultyofeconomics
University of Sri Jayewardenepura - Department of Accounting;universityofsrijayewardenepuradepartmentofaccounting
