old names;ror_name;ror_id;simplified name
Dimitrie Cantemir University of Tirgu-Mures;Dimitrie Cantemir University;05ykvq143;dimitriecantemiruniversity
University of Castilla-La Mancha;University of Castilla-La Mancha;05r78ng12;universityofcastillalamancha
International Monetary Fund (IMF);International Monetary Fund;05m4rmw09;internationalmonetaryfund
Walden University;Walden University;02qp2hh41;waldenuniversity
Queen's University;Queen's University;02y72wh86;queensuniversity
University of Michigan, Stephen M. Ross School of Business;University of Michigan;00jmfr291;universityofmichigan
Indiana University Robert H. McKinney School of Law;Indiana University;01kg8sb98;indianauniversity
Cornell University - Law School;Cornell University;05bnh6r87;cornelluniversity
UC Law, San Francisco;University of California, San Francisco;043mz5j54;universityofcaliforniasanfrancisco
Drake University - Law School;Drake University;001skmk61;drakeuniversity
University of Las Palmas de Gran Canaria;Universidad de Las Palmas de Gran Canaria;01teme464;universidaddelaspalmasdegrancanaria
Universidad Externado de Colombia;Universidad Externado de Colombia;02xtwpk10;universidadexternadodecolombia
Università di Bologna;University of Bologna;01111rn36;universityofbologna
University of Colorado Law School;University of Colorado Health;0107w4315;universityofcoloradohealth
Tai Solarin University of Education;Tai Solarin University of Education;05adhha17;taisolarinuniversityofeducation
Rutgers, The State University of New Jersey - Rutgers Law School;Rutgers, The State University of New Jersey;05vt9qd57;rutgersthestateuniversityofnewjersey
University of Technology Sydney, Faculty of Law;University of Technology Sydney;03f0f6041;universityoftechnologysydney
Federal National Mortgage Association (Fannie Mae);Federal Reserve;05fk5tr28;federalreserve
Babes-Bolyai University - Faculty of Political, Administrative and Communication Sciences;Babeș-Bolyai University;02rmd1t30;babebolyaiuniversity
Universite du Quebec a Montreal;Université du Québec à Montréal;002rjbv21;universitduqubecmontral
Catholic University of Milan;Università Cattolica del Sacro Cuore;03h7r5v07;universitcattolicadelsacrocuore
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Chelyabinsk Branch;Russian Academy of Arts;05960ca78;russianacademyofarts
Russian Academy of National Economy and Public Administration under the President of the Russian Federation (RANEPA) - Stolypin Volga Region Institute of Administration;Russian Academy of Arts;05960ca78;russianacademyofarts
University of Massachusetts Amherst;University of Massachusetts Amherst;0072zz521;universityofmassachusettsamherst
Bentley University - Graduate School, Graduate Tax Program;Bentley University;01px48m89;bentleyuniversity
Babcock University;Babcock University;00k0k7y87;babcockuniversity
ESCORIAL-MARÍA CRISTINA ROYAL UNIVERSITY;Royal Ottawa Mental Health Centre;056vnsb08;royalottawamentalhealthcentre
University of Verona - Department of Law;University of Verona;039bp8j42;universityofverona
Seoul National University;Seoul National University;04h9pn542;seoulnationaluniversity
University of Cambridge - Faculty of Law;University of Cambridge;013meh722;universityofcambridge
Om Sai Ram Centre for Financial Management Research;IFMR Graduate School of Business;04dtrtr74;ifmrgraduateschoolofbusiness
World Bank - Enterprise Analysis Unit;World Bank;00ae7jd04;worldbank
World Bank - Development Research Group (DECRG);World Bank;00ae7jd04;worldbank
Bank of Italy;Bank of Italy;03v2nbx43;bankofitaly
Kopargaon Taluka Education Society;The Anam Society for the Study Of Education;024ay6y96;theanamsocietyforthestudyofeducation
