affiliations_original,affiliation_1,affiliation_2,confidence,manual,affiliation_1_manual,affiliation_2_manual
"PhD in Law, Practitioner and researcher in the field of international law and human rights activist","PhD in Law, Practitioner and researcher in the field of international law",human rights activist,20,100,,
Organisation for Economic  Co-operation and Development and affiliation not provided to SSRN,Organisation for Economic  Co-operation and Development,affiliation not provided to SSRN,20,100,,
Organisation for Economic  Co-operation and Development and affiliation not provided to SSRN,Organisation for Economic  Co-operation and Development,affiliation not provided to SSRN,20,100,,
"Columbia University - Columbia Business School, Finance and Monetary and Capital Markets Departrment","Columbia University - Columbia Business School, Finance and Monetary",Capital Markets Departrment,20,100,,
Virginia Tech - Department of Agricultural and Applied Economics and Resources for the Future,Virginia Tech - Department of Agricultural and Applied Economics,Resources for the Future,35,100,,
Columbia University - Columbia Center on Sustainable Investment and Transparency and Accountability Initiative (TAI),Columbia University - Columbia Center on Sustainable Investment and Transparency,Accountability Initiative (TAI),50,100,,
"Agostino and Associates, PC - New Jersey Office and Agostino and Associates, PC","Agostino and Associates, PC - New Jersey Office and Agostino","Associates, PC",56,0,"Agostino and Associates, PC - New Jersey Office","Agostino and Associates, PC"
"University of Bonn, Department of Law, Chair of German and European Constitutional and Administrative Law and Sernetz Schäfer Rechtsanwälte","University of Bonn, Department of Law, Chair of German and European Constitutional and Administrative Law",Sernetz Schäfer Rechtsanwälte,56,100,,
"Akin Gump Strauss Hauer and Feld and Akin Gump Strauss Hauer & Feld, L.L.P.",Akin Gump Strauss Hauer and Feld,"Akin Gump Strauss Hauer & Feld, L.L.P.",57,100,,
Deutsche Bahn AG - Competition Litigation and Antitrust Economics and Deutsche Bahn AG,Deutsche Bahn AG - Competition Litigation and Antitrust Economics,Deutsche Bahn AG,58,100,,
"University of São Paulo (USP) - Faculty of Economics, Administration and Accounting of Ribeirão Preto (FEARP) and Independent","University of São Paulo (USP) - Faculty of Economics, Administration and Accounting of Ribeirão Preto (FEARP)",Independent,59,100,,
"Georgia State University - Andrew Young School of Policy Studies and Georgia State University - Dept. of Public Management and Policy, Georgia State University - Department of Public Management and Policy",Georgia State University - Andrew Young School of Policy Studies,"Georgia State University - Dept. of Public Management and Policy, Georgia State University - Department of Public Management and Policy",59,100,,
Intelligent Analytics and Modeling and Intelligent Analytics and Modeling,Intelligent Analytics and Modeling,Intelligent Analytics and Modeling,59,100,,
Bocconi University and ICRIOS and Copenhagen Business School - Department of Strategy and Innovation,Bocconi University and ICRIOS,Copenhagen Business School - Department of Strategy and Innovation,59,100,,
"Professor and Director, Shri Ram College, Muzaffarnagar and Research Scholar, Uttarakhand Technical University, Dehradun","Professor and Director, Shri Ram College, Muzaffarnagar","Research Scholar, Uttarakhand Technical University, Dehradun",60,100,,
University of Amsterdam and CEPR and Stanford Graduate School of Business,University of Amsterdam and CEPR,Stanford Graduate School of Business,60,100,,
